Hpsub,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3365,0.4098,0.283,0.1595,0.3252,0.1567,0.3959,0.2688,0.1845,0.1225,0.1468,0.2651
B,0.2642,0.3631,0.2256,0.2017,0.341,0.1387,0.4287,0.1953,0.1615,0.1201,0.1391,0.2989
C,0.3182,0.3912,0.2817,0.1647,0.3645,0.1747,0.4133,0.2795,0.1758,0.1466,0.141,0.2435
D,0.3599,0.2922,0.1959,0.1215,0.3465,0.116,0.3423,0.1993,0.138,0.089,0.1163,0.1685
E,0.0598,0.2109,0.0631,0.2082,0.1826,0.2637,0.2661,0.2669,0.0574,0.0587,0.0594,0.062
F,0.0571,0.1894,0.0575,0.1795,0.1666,0.2304,0.3438,0.246,0.0657,0.0571,0.0568,0.0588
G,0.0608,0.1966,0.1077,0.1894,0.1491,0.2673,0.2362,0.2118,0.0573,0.0572,0.0569,0.0577
H,0.0522,0.1992,0.0548,0.1586,0.1255,0.1891,0.211,0.1817,0.0579,0.063,0.0574,0.0576
