Well,Sample,Weight,Replicate,Time
A01,W0513,0.0055,1,0
A02,W0513,0.0055,2,0
A03,W0513,0.0055,3,0
A04,W0121,0.0562,1,0
A05,W0121,0.0562,2,0
A06,W0121,0.0562,3,0
A07,W0122,0.0324,1,0
A08,W0122,0.0324,2,0
A09,W0122,0.0324,3,0
A10,W0514,0.0169,1,0
A11,W0514,0.0169,2,0
A12,W0514,0.0169,3,0
B01,W0123,0.0263,1,0
B02,W0123,0.0263,2,0
B03,W0123,0.0263,3,0
B04,W0515,0.0181,1,0
B05,W0515,0.0181,2,0
B06,W0515,0.0181,3,0
B07,W0124,0.0234,1,0
B08,W0124,0.0234,2,0
B09,W0124,0.0234,3,0
B10,W0516,0.004,1,0
B11,W0516,0.004,2,0
B12,W0516,0.004,3,0
C01,W0127,0.0214,1,0
C02,W0127,0.0214,2,0
C03,W0127,0.0214,3,0
C04,W0128,0.0456,1,0
C05,W0128,0.0456,2,0
C06,W0128,0.0456,3,0
C07,W0517,0.0181,1,0
C08,W0517,0.0181,2,0
C09,W0517,0.0181,3,0
C10,W0518,0.0121,1,0
C11,W0518,0.0121,2,0
C12,W0518,0.0121,3,0
D01,W0130,0.0258,1,0
D02,W0130,0.0258,2,0
D03,W0130,0.0258,3,0
D04,W0132,0.0376,1,0
D05,W0132,0.0376,2,0
D06,W0132,0.0376,3,0
D07,W0520,0.0239,1,0
D08,W0520,0.0239,2,0
D09,W0520,0.0239,3,0
D10,W0134,0.043,1,0
D11,W0134,0.043,2,0
D12,W0134,0.043,3,0
E01,W0135,0.0274,1,0
E02,W0135,0.0274,2,0
E03,W0135,0.0274,3,0
E04,W0522,0.0231,1,0
E05,W0522,0.0231,2,0
E06,W0522,0.0231,3,0
E07,W0137,0.0302,1,0
E08,W0137,0.0302,2,0
E09,W0137,0.0302,3,0
E10,W0138,0.0204,1,0
E11,W0138,0.0204,2,0
E12,W0138,0.0204,3,0
F01,W0600,0.019,1,0
F02,W0600,0.019,2,0
F03,W0600,0.019,3,0
F04,W0140,0.0544,1,0
F05,W0140,0.0544,2,0
F06,W0140,0.0544,3,0
F07,W0601,0.031,1,0
F08,W0601,0.031,2,0
F09,W0601,0.031,3,0
F10,W0142,8.00E-04,1,0
F11,W0142,8.00E-04,2,0
F12,W0142,8.00E-04,3,0
G01,W0603,0.0102,1,0
G02,W0603,0.0102,2,0
G03,W0603,0.0102,3,0
G04,W0143,0.0153,1,0
G05,W0143,0.0153,2,0
G06,W0143,0.0153,3,0
G07,W0144,0.0061,1,0
G08,W0144,0.0061,2,0
G09,W0144,0.0061,3,0
G10,W0604,0.0038,1,0
G11,W0604,0.0038,2,0
G12,W0604,0.0038,3,0
H01,W0145,0.02,1,0
H02,W0145,0.02,2,0
H03,W0145,0.02,3,0
H04,W0605,0.026,1,0
H05,W0605,0.026,2,0
H06,W0605,0.026,3,0
H07,W0146,0.019,1,0
H08,W0146,0.019,2,0
H09,W0146,0.019,3,0
H10,W0606,0.0555,1,0
H11,W0606,0.0555,2,0
H12,W0606,0.0555,3,0
