Well,Sample,Weight,Replicate,Time
A01,W0419,0.0213,1,4
A02,W0419,0.0213,2,4
A03,W0419,0.0213,3,4
A04,W0076,0.0212,1,4
A05,W0076,0.0212,2,4
A06,W0076,0.0212,3,4
A07,W0420,0.0015,1,4
A08,W0420,0.0015,2,4
A09,W0420,0.0015,3,4
A10,W0077,0.0161,1,4
A11,W0077,0.0161,2,4
A12,W0077,0.0161,3,4
B01,W0421,0.022,1,4
B02,W0421,0.022,2,4
B03,W0421,0.022,3,4
B04,W0078,0.0106,1,4
B05,W0078,0.0106,2,4
B06,W0078,0.0106,3,4
B07,WO422,0.01,1,4
B08,WO422,0.01,2,4
B09,WO422,0.01,3,4
B10,W0079,0.0241,1,4
B11,W0079,0.0241,2,4
B12,W0079,0.0241,3,4
C01,W0423,0.0168,1,4
C02,W0423,0.0168,2,4
C03,W0423,0.0168,3,4
C04,W0424,0.0367,1,4
C05,W0424,0.0367,2,4
C06,W0424,0.0367,3,4
C07,W0081,0.023,1,4
C08,W0081,0.023,2,4
C09,W0081,0.023,3,4
C10,W0080,0.0301,1,4
C11,W0080,0.0301,2,4
C12,W0080,0.0301,3,4
D01,W0425,0.0125,1,4
D02,W0425,0.0125,2,4
D03,W0425,0.0125,3,4
D04,W0082,0.0478,1,4
D05,W0082,0.0478,2,4
D06,W0082,0.0478,3,4
D07,W0426,0.0306,1,4
D08,W0426,0.0306,2,4
D09,W0426,0.0306,3,4
D10,W0083,0.0294,1,4
D11,W0083,0.0294,2,4
D12,W0083,0.0294,3,4
E01,WO427,0.018,1,4
E02,WO427,0.018,2,4
E03,WO427,0.018,3,4
E04,W0084,0.0231,1,4
E05,W0084,0.0231,2,4
E06,W0084,0.0231,3,4
E07,W0085,0.0303,1,4
E08,W0085,0.0303,2,4
E09,W0085,0.0303,3,4
E10,WO475,0.0144,1,4
E11,WO475,0.0144,2,4
E12,WO475,0.0144,3,4
F01,WO476,0.0632,1,4
F02,WO476,0.0632,2,4
F03,WO476,0.0632,3,4
F04,W0113,0.0651,1,4
F05,W0113,0.0651,2,4
F06,W0113,0.0651,3,4
F07,W0477,0.0256,1,4
F08,W0477,0.0256,2,4
F09,W0477,0.0256,3,4
F10,W0114,0.025,1,4
F11,W0114,0.025,2,4
F12,W0114,0.025,3,4
G01,W0478,0.0324,1,4
G02,W0478,0.0324,2,4
G03,W0478,0.0324,3,4
G04,W0115,0.0221,1,4
G05,W0115,0.0221,2,4
G06,W0115,0.0221,3,4
G07,WO479,0.0328,1,4
G08,WO479,0.0328,2,4
G09,WO479,0.0328,3,4
G10,W0480,0.016,1,4
G11,W0480,0.016,2,4
G12,W0480,0.016,3,4
H01,W0116,0.026,1,4
H02,W0116,0.026,2,4
H03,W0116,0.026,3,4
H04,W0117,0.0307,1,4
H05,W0117,0.0307,2,4
H06,W0117,0.0307,3,4
H07,W0118,0.0365,1,4
H08,W0118,0.0365,2,4
H09,W0118,0.0365,3,4
H10,W0119,0.037,1,4
H11,W0119,0.037,2,4
H12,W0119,0.037,3,4
