Well,Sample,Weight,Replicate,Time
A01,W0148,0.0292,1,0
A02,W0148,0.0292,2,0
A03,W0148,0.0292,3,0
A04,W0149,0.0339,1,0
A05,W0149,0.0339,2,0
A06,W0149,0.0339,3,0
A07,W0607,0.0175,1,0
A08,W0607,0.0175,2,0
A09,W0607,0.0175,3,0
A10,W0608,0.0149,1,0
A11,W0608,0.0149,2,0
A12,W0608,0.0149,3,0
B01,W0152,0.031,1,0
B02,W0152,0.031,2,0
B03,W0152,0.031,3,0
B04,W0153,0.0244,1,0
B05,W0153,0.0244,2,0
B06,W0153,0.0244,3,0
B07,W0609,0.0353,1,0
B08,W0609,0.0353,2,0
B09,W0609,0.0353,3,0
B10,W0154,0.0271,1,0
B11,W0154,0.0271,2,0
B12,W0154,0.0271,3,0
C01,W0610,0.0118,1,0
C02,W0610,0.0118,2,0
C03,W0610,0.0118,3,0
C04,W0155,0.0355,1,0
C05,W0155,0.0355,2,0
C06,W0155,0.0355,3,0
C07,W0156,0.038,1,0
C08,W0156,0.038,2,0
C09,W0156,0.038,3,0
C10,W0611,0.0088,1,0
C11,W0611,0.0088,2,0
C12,W0611,0.0088,3,0
D01,W0157,0.0161,1,0
D02,W0157,0.0161,2,0
D03,W0157,0.0161,3,0
D04,W0613,0.0076,1,0
D05,W0613,0.0076,2,0
D06,W0613,0.0076,3,0
D07,W0158,0.0303,1,0
D08,W0158,0.0303,2,0
D09,W0158,0.0303,3,0
D10,W0160,0.0173,1,0
D11,W0160,0.0173,2,0
D12,W0160,0.0173,3,0
E01,W0747,0.0073,1,0
E02,W0747,0.0073,2,0
E03,W0747,0.0073,3,0
E04,W0161,0.0406,1,0
E05,W0161,0.0406,2,0
E06,W0161,0.0406,3,0
E07,W0162,0.0465,1,0
E08,W0162,0.0465,2,0
E09,W0162,0.0465,3,0
E10,W0748,0.0168,1,0
E11,W0748,0.0168,2,0
E12,W0748,0.0168,3,0
F01,W0163,0.0228,1,0
F02,W0163,0.0228,2,0
F03,W0163,0.0228,3,0
F04,W0749,0.0354,1,0
F05,W0749,0.0354,2,0
F06,W0749,0.0354,3,0
F07,W0165,0.0382,1,0
F08,W0165,0.0382,2,0
F09,W0165,0.0382,3,0
F10,W0750,0.0264,1,0
F11,W0750,0.0264,2,0
F12,W0750,0.0264,3,0
G01,W0166,0.0377,1,0
G02,W0166,0.0377,2,0
G03,W0166,0.0377,3,0
G04,W0751,0.0195,1,0
G05,W0751,0.0195,2,0
G06,W0751,0.0195,3,0
G07,W0167,0.0282,1,0
G08,W0167,0.0282,2,0
G09,W0167,0.0282,3,0
G10,W0752,0.0119,1,0
G11,W0752,0.0119,2,0
G12,W0752,0.0119,3,0
H01,W0168,0.0253,1,0
H02,W0168,0.0253,2,0
H03,W0168,0.0253,3,0
H04,W0753,0.0202,1,0
H05,W0753,0.0202,2,0
H06,W0753,0.0202,3,0
H07,,,,
H08,,,,
H09,,,,
H10,,,,
H11,,,,
H12,,,,
