,1,2,3,4,5,6,7,8,9,10,11,12
A,0.2082,0.2154,0.2166,0.1433,0.1545,0.1603,0.2369,0.2371,0.2275,0.1125,0.1174,0.1123
B,0.5328,0.5202,0.4739,0.1502,0.1182,0.2098,0.1654,0.2301,0.1798,0.3715,0.3781,0.3668
C,0.4268,0.3108,0.3794,0.2974,0.3457,0.3416,0.2726,0.2884,0.2583,0.1491,0.1606,0.1408
D,0.2911,0.3522,0.4063,0.2066,0.1882,0.1879,0.6781,0.0435,0.7775,0.4602,0.4676,0.4147
E,0.4148,0.3918,0.4142,0.2732,0.2778,0.2515,0.3417,0.4391,0.4318,0.4626,0.4701,0.6014
F,0.3122,0.3027,0.2847,0.501,0.5079,0.5142,0.4914,0.4062,0.5011,0.4324,0.5815,0.6634
G,0.4285,0.4262,0.4444,0.8305,0.7506,0.6866,0.4791,0.5558,0.5329,0.2708,0.2472,0.2651
H,0.1969,0.1726,0.2187,0.38,0.3801,0.4335,0.4259,0.5006,0.4923,,,
