Well,Sample,Weight,Replicate,Time
A01,W0120,0.0502,1,4
A02,W0120,0.0502,2,4
A03,W0120,0.0502,3,4
A04,W0513,0.0396,1,4
A05,W0513,0.0396,2,4
A06,W0513,0.0396,3,4
A07,W0121,0.0409,1,4
A08,W0121,0.0409,2,4
A09,W0121,0.0409,3,4
A10,W0122,0.0499,1,4
A11,W0122,0.0499,2,4
A12,W0122,0.0499,3,4
B01,W0514,0.025,1,4
B02,W0514,0.025,2,4
B03,W0514,0.025,3,4
B04,W0123,0.0381,1,4
B05,W0123,0.0381,2,4
B06,W0123,0.0381,3,4
B07,W0515,0.0257,1,4
B08,W0515,0.0257,2,4
B09,W0515,0.0257,3,4
B10,W0124,0.0433,1,4
B11,W0124,0.0433,2,4
B12,W0124,0.0433,3,4
C01,W0516,0.0389,1,4
C02,W0516,0.0389,2,4
C03,W0516,0.0389,3,4
C04,W0127,0.0198,1,4
C05,W0127,0.0198,2,4
C06,W0127,0.0198,3,4
C07,W0128,0.0534,1,4
C08,W0128,0.0534,2,4
C09,W0128,0.0534,3,4
C10,W0517,0.0373,1,4
C11,W0517,0.0373,2,4
C12,W0517,0.0373,3,4
D01,W0518,0.0167,1,4
D02,W0518,0.0167,2,4
D03,W0518,0.0167,3,4
D04,W0130,0.0369,1,4
D05,W0130,0.0369,2,4
D06,W0130,0.0369,3,4
D07,W0132,0.0276,1,4
D08,W0132,0.0276,2,4
D09,W0132,0.0276,3,4
D10,W0520,0.0381,1,4
D11,W0520,0.0381,2,4
D12,W0520,0.0381,3,4
E01,W0134,0.0539,1,4
E02,W0134,0.0539,2,4
E03,W0134,0.0539,3,4
E04,W0135,0.0378,1,4
E05,W0135,0.0378,2,4
E06,W0135,0.0378,3,4
E07,W0522,0.0373,1,4
E08,W0522,0.0373,2,4
E09,W0522,0.0373,3,4
E10,W0137,0.0553,1,4
E11,W0137,0.0553,2,4
E12,W0137,0.0553,3,4
F01,W0138,0.0282,1,4
F02,W0138,0.0282,2,4
F03,W0138,0.0282,3,4
F04,W0600,0.0261,1,4
F05,W0600,0.0261,2,4
F06,W0600,0.0261,3,4
F07,W0140,0.0674,1,4
F08,W0140,0.0674,2,4
F09,W0140,0.0674,3,4
F10,W0601,0.0376,1,4
F11,W0601,0.0376,2,4
F12,W0601,0.0376,3,4
G01,W0142,0.0289,1,4
G02,W0142,0.0289,2,4
G03,W0142,0.0289,3,4
G04,W0603,0.0177,1,4
G05,W0603,0.0177,2,4
G06,W0603,0.0177,3,4
G07,W0143,0.0349,1,4
G08,W0143,0.0349,2,4
G09,W0143,0.0349,3,4
G10,W0144,0.0309,1,4
G11,W0144,0.0309,2,4
G12,W0144,0.0309,3,4
H01,W0604,0.0201,1,4
H02,W0604,0.0201,2,4
H03,W0604,0.0201,3,4
H04,W0145,0.0228,1,4
H05,W0145,0.0228,2,4
H06,W0145,0.0228,3,4
H07,W0605,0.024,1,4
H08,W0605,0.024,2,4
H09,W0605,0.024,3,4
H10,W0146,0.024,1,4
H11,W0146,0.024,2,4
H12,W0146,0.024,3,4
