Well,Sample,Weight,Replicate,Time
A01,W0120,0.0232,1,24
A02,W0120,0.0232,2,24
A03,W0120,0.0232,3,24
A04,W0513,0.0147,1,24
A05,W0513,0.0147,2,24
A06,W0513,0.0147,3,24
A07,W0121,0.0156,1,24
A08,W0121,0.0156,2,24
A09,W0121,0.0156,3,24
A10,W0122,0.0158,1,24
A11,W0122,0.0158,2,24
A12,W0122,0.0158,3,24
B01,W0514,0.0158,1,24
B02,W0514,0.0158,2,24
B03,W0514,0.0158,3,24
B04,W0123,0.0278,1,24
B05,W0123,0.0278,2,24
B06,W0123,0.0278,3,24
B07,W0515,0.0162,1,24
B08,W0515,0.0162,2,24
B09,W0515,0.0162,3,24
B10,W0124,0.0561,1,24
B11,W0124,0.0561,2,24
B12,W0124,0.0561,3,24
C01,W0516,0.0226,1,24
C02,W0516,0.0226,2,24
C03,W0516,0.0226,3,24
C04,W0127,0.0353,1,24
C05,W0127,0.0353,2,24
C06,W0127,0.0353,3,24
C07,W0128,0.0151,1,24
C08,W0128,0.0151,2,24
C09,W0128,0.0151,3,24
C10,W0517,0.0332,1,24
C11,W0517,0.0332,2,24
C12,W0517,0.0332,3,24
D01,W0518,0.0232,1,24
D02,W0518,0.0232,2,24
D03,W0518,0.0232,3,24
D04,W0130,0.0446,1,24
D05,W0130,0.0446,2,24
D06,W0130,0.0446,3,24
D07,W0132,0.0532,1,24
D08,W0132,0.0532,2,24
D09,W0132,0.0532,3,24
D10,W0520,0.0412,1,24
D11,W0520,0.0412,2,24
D12,W0520,0.0412,3,24
E01,W0134,0.0114,1,24
E02,W0134,0.0114,2,24
E03,W0134,0.0114,3,24
E04,W0135,0.0365,1,24
E05,W0135,0.0365,2,24
E06,W0135,0.0365,3,24
E07,W0522,0.03,1,24
E08,W0522,0.03,2,24
E09,W0522,0.03,3,24
E10,W0137,0.0199,1,24
E11,W0137,0.0199,2,24
E12,W0137,0.0199,3,24
F01,W0138,0.0162,1,24
F02,W0138,0.0162,2,24
F03,W0138,0.0162,3,24
F04,W0600,0.0069,1,24
F05,W0600,0.0069,2,24
F06,W0600,0.0069,3,24
F07,W0140,0.0369,1,24
F08,W0140,0.0369,2,24
F09,W0140,0.0369,3,24
F10,W0601,0.0238,1,24
F11,W0601,0.0238,2,24
F12,W0601,0.0238,3,24
G01,W0142,0.0208,1,24
G02,W0142,0.0208,2,24
G03,W0142,0.0208,3,24
G04,W0603,0.0087,1,24
G05,W0603,0.0087,2,24
G06,W0603,0.0087,3,24
G07,W0143,0.035,1,24
G08,W0143,0.035,2,24
G09,W0143,0.035,3,24
G10,W0144,0.0295,1,24
G11,W0144,0.0295,2,24
G12,W0144,0.0295,3,24
H01,W0604,0.0201,1,24
H02,W0604,0.0201,2,24
H03,W0604,0.0201,3,24
H04,W0145,0.0243,1,24
H05,W0145,0.0243,2,24
H06,W0145,0.0243,3,24
H07,W0605,0.0258,1,24
H08,W0605,0.0258,2,24
H09,W0605,0.0258,3,24
H10,W0146,0.0287,1,24
H11,W0146,0.0287,2,24
H12,W0146,0.0287,3,24
