Well,Sample,Weight,Replicate,Time
A01,W0419,0.0461,1,24
A02,W0419,0.0461,2,24
A03,W0419,0.0461,3,24
A04,W0076,0.0311,1,24
A05,W0076,0.0311,2,24
A06,W0076,0.0311,3,24
A07,W0420,0.0433,1,24
A08,W0420,0.0433,2,24
A09,W0420,0.0433,3,24
A10,W0077,0.0387,1,24
A11,W0077,0.0387,2,24
A12,W0077,0.0387,3,24
B01,W0421,0.035,1,24
B02,W0421,0.035,2,24
B03,W0421,0.035,3,24
B04,W0078,0.0144,1,24
B05,W0078,0.0144,2,24
B06,W0078,0.0144,3,24
B07,WO422,0.0278,1,24
B08,WO422,0.0278,2,24
B09,WO422,0.0278,3,24
B10,W0079,0.0417,1,24
B11,W0079,0.0417,2,24
B12,W0079,0.0417,3,24
C01,W0423,0.055,1,24
C02,W0423,0.055,2,24
C03,W0423,0.055,3,24
C04,W0424,0.0213,1,24
C05,W0424,0.0213,2,24
C06,W0424,0.0213,3,24
C07,W0081,0.0118,1,24
C08,W0081,0.0118,2,24
C09,W0081,0.0118,3,24
C10,W0080,0.0169,1,24
C11,W0080,0.0169,2,24
C12,W0080,0.0169,3,24
D01,W0425,0.0337,1,24
D02,W0425,0.0337,2,24
D03,W0425,0.0337,3,24
D04,W0082,0.0057,1,24
D05,W0082,0.0057,2,24
D06,W0082,0.0057,3,24
D07,W0426,0.0278,1,24
D08,W0426,0.0278,2,24
D09,W0426,0.0278,3,24
D10,W0083,0.0257,1,24
D11,W0083,0.0257,2,24
D12,W0083,0.0257,3,24
E01,WO427,0.0098,1,24
E02,WO427,0.0098,2,24
E03,WO427,0.0098,3,24
E04,W0084,0.0291,1,24
E05,W0084,0.0291,2,24
E06,W0084,0.0291,3,24
E07,W0085,0.0309,1,24
E08,W0085,0.0309,2,24
E09,W0085,0.0309,3,24
E10,WO475,0.0289,1,24
E11,WO475,0.0289,2,24
E12,WO475,0.0289,3,24
F01,WO476,0.0334,1,24
F02,WO476,0.0334,2,24
F03,WO476,0.0334,3,24
F04,W0113,0.025,1,24
F05,W0113,0.025,2,24
F06,W0113,0.025,3,24
F07,W0477,0.0342,1,24
F08,W0477,0.0342,2,24
F09,W0477,0.0342,3,24
F10,W0114,0.0226,1,24
F11,W0114,0.0226,2,24
F12,W0114,0.0226,3,24
G01,W0478,0.0621,1,24
G02,W0478,0.0621,2,24
G03,W0478,0.0621,3,24
G04,W0115,0.0433,1,24
G05,W0115,0.0433,2,24
G06,W0115,0.0433,3,24
G07,WO479,0.0405,1,24
G08,WO479,0.0405,2,24
G09,WO479,0.0405,3,24
G10,W0480,0.0497,1,24
G11,W0480,0.0497,2,24
G12,W0480,0.0497,3,24
H01,W0116,0.031,1,24
H02,W0116,0.031,2,24
H03,W0116,0.031,3,24
H04,W0117,0.0368,1,24
H05,W0117,0.0368,2,24
H06,W0117,0.0368,3,24
H07,W0118,0.0247,1,24
H08,W0118,0.0247,2,24
H09,W0118,0.0247,3,24
H10,W0119,0.0047,1,24
H11,W0119,0.0047,2,24
H12,W0119,0.0047,3,24
