,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0805,0.0875,0.079,0.0837,0.0775,0.0737,0.0937,0.0909,0.0925,0.0886,0.0853,0.0828
B,0.0787,0.0798,0.0781,0.0626,0.0628,0.0626,0.0392,0.0401,0.0396,0.0394,0.0393,0.0391
C,0.0421,0.0418,0.042,0.0391,0.0394,0.0395,0.0394,0.0409,0.0392,0.0392,0.0392,0.0394
D,0.0389,0.042,0.0409,0.0471,0.0529,0.0395,0.0511,0.0554,0.0503,0.0781,0.0801,0.0757
E,0.1345,0.149,0.1358,0.0767,0.0717,0.0694,0.1452,0.1302,0.1789,0.1553,0.1905,0.1495
F,0.1836,0.1576,0.0421,0.1477,0.1606,0.1452,0.2053,0.2065,0.1293,0.0398,0.0395,0.0401
G,0.0392,0.0402,0.1526,0.0403,0.0407,0.0415,0.0397,0.0396,0.0471,0.0399,0.04,0.0393
H,0.0407,0.0406,0.0408,0.1291,0.1413,0.0874,0.0952,0.0994,0.1021,0.1446,0.139,0.1401
