Well,Sample,Weight,Replicate,Time
A01,W0606,0.0407,1,24
A02,W0606,0.0407,2,24
A03,W0606,0.0407,3,24
A04,W0148,0.0066,1,24
A05,W0148,0.0066,2,24
A06,W0148,0.0066,3,24
A07,W0149,0.0111,1,24
A08,W0149,0.0111,2,24
A09,W0149,0.0111,3,24
A10,W0607,0.0178,1,24
A11,W0607,0.0178,2,24
A12,W0607,0.0178,3,24
B01,W0608,0.0266,1,24
B02,W0608,0.0266,2,24
B03,W0608,0.0266,3,24
B04,W0152,0.0095,1,24
B05,W0152,0.0095,2,24
B06,W0152,0.0095,3,24
B07,W0153,0.0149,1,24
B08,W0153,0.0149,2,24
B09,W0153,0.0149,3,24
B10,W0609,0.016,1,24
B11,W0609,0.016,2,24
B12,W0609,0.016,3,24
C01,W0154,8.00E-04,1,24
C02,W0154,8.00E-04,2,24
C03,W0154,8.00E-04,3,24
C04,W0610,0.0166,1,24
C05,W0610,0.0166,2,24
C06,W0610,0.0166,3,24
C07,W0155,0.0181,1,24
C08,W0155,0.0181,2,24
C09,W0155,0.0181,3,24
C10,W0156,0.0086,1,24
C11,W0156,0.0086,2,24
C12,W0156,0.0086,3,24
D01,W0611,0.0087,1,24
D02,W0611,0.0087,2,24
D03,W0611,0.0087,3,24
D04,W0157,0.008,1,24
D05,W0157,0.008,2,24
D06,W0157,0.008,3,24
D07,W0613,0.0236,1,24
D08,W0613,0.0236,2,24
D09,W0613,0.0236,3,24
D10,W0158,0.0566,1,24
D11,W0158,0.0566,2,24
D12,W0158,0.0566,3,24
E01,W0160,0.0211,1,24
E02,W0160,0.0211,2,24
E03,W0160,0.0211,3,24
E04,W0747,0.024,1,24
E05,W0747,0.024,2,24
E06,W0747,0.024,3,24
E07,W0161,0.0306,1,24
E08,W0161,0.0306,2,24
E09,W0161,0.0306,3,24
E10,W0162,0.0221,1,24
E11,W0162,0.0221,2,24
E12,W0162,0.0221,3,24
F01,W0748,0.0252,1,24
F02,W0748,0.0252,2,24
F03,W0748,0.0252,3,24
F04,W0163,0.0333,1,24
F05,W0163,0.0333,2,24
F06,W0163,0.0333,3,24
F07,W0749,0.0241,1,24
F08,W0749,0.0241,2,24
F09,W0749,0.0241,3,24
F10,W0165,0.0284,1,24
F11,W0165,0.0284,2,24
F12,W0165,0.0284,3,24
G01,W0750,0.0296,1,24
G02,W0750,0.0296,2,24
G03,W0750,0.0296,3,24
G04,W0166,0.0126,1,24
G05,W0166,0.0126,2,24
G06,W0166,0.0126,3,24
G07,W0751,0.0301,1,24
G08,W0751,0.0301,2,24
G09,W0751,0.0301,3,24
G10,W0167,0.013,1,24
G11,W0167,0.013,2,24
G12,W0167,0.013,3,24
H01,W0752,0.011,1,24
H02,W0752,0.011,2,24
H03,W0752,0.011,3,24
H04,W0168,0.0299,1,24
H05,W0168,0.0299,2,24
H06,W0168,0.0299,3,24
H07,W0753,0.0214,1,24
H08,W0753,0.0214,2,24
H09,W0753,0.0214,3,24
H10,,,,
H11,,,,
H12,,,,
