Genotypes
W0419
W0076
W0420
W0077
W0421
W0078
WO422
W0079
W0423
W0424
W0081
W0080
W0425
W0082
W0426
W0083
WO427
W0084
W0085
WO475
WO476
W0113
W0477
W0114
W0478
W0115
WO479
W0480
W0116
W0117
W0118
W0119
W0120
W0513
W0121
W0122
W0514
W0123
W0515
W0124
W0516
W0127
W0128
W0517
W0518
W0130
W0132
W0520
W0134
W0135
W0522
W0137
W0138
W0600
W0140
W0601
W0142
W0603
W0143
W0144
W0604
W0145
W0605
W0146
W0606
W0148
W0149
W0607
W0608
W0152
W0153
W0609
W0154
W0610
W0155
W0156
W0611
W0157
W0613
W0158
W0160
W0747
W0161
W0162
W0748
W0163
W0749
W0165
W0750
W0166
W0751
W0167
W0752
W0168
W0753
W0049
W0070
W0073
W0244
W0280
W0287
W0295
W0300
W0301
W0303
W0305
W0307
W0326
W0361
W0364
W0429
W0431
W0444
W0454
W0459
W0470
W0471
W0472
W0524
W0525
W0527
W0529
W0530
W0533
W0536
W0614
W0615
W0617
W0622
W0625
W0626
W0644
W0649
W0652
W0771
W0506
W0511
W0351
W0358
W0592
W0434
W0594
W0350
W0347
W0362
W0448
W0587
W0460
W0261
W0584
W0844
W0597
W0348
W0290
W0363
W0353
W0352
W0488
W0490
W0486
W0500
W0501
W0492
W0493
W0793
W0581
W0785
W0562
W0819
W0836
W0595
W0571
W0584
W0337
W0088
W0429
W0474
W0258
W0347
W0822
W0443
W0238
W0266
W0809
W0454
W0241
W0828
W0270
W0813
W0832
W0463
W0244
W0280
W0470
W0257
W0281
W0818
W0845
W0843
W0817
W0361
W0289
W0291
W0296
W0300
W0301
W0302
W0303
W0320
W0615
W0620
W0622
W0634
W0644
W0648
W0649
W0652
W0772
W0778
W0780
W0783
W0790
W0792
W0272
W0466
W0467
W0349
W0285
W0526
W0527
W0529
W0530
W0545
W0546
W0549
W0550
W0044
W0048
W0050
W0057
W0059
W0070
W0071
W0073
W0431
W0458
W0471
W0256
W0279
W0444
W0459
W0472
W0265
W0453
W0462
W0808
W0239
W0269
W0814
W0455
W0464
W0245
W0456
W0465
W0255
W0278
W0819
W0816
W0271
W0364
W0287
W0290
W0295
W0304
W0305
W0306
W0307
W0321
W0614
W0617
W0618
W0619
W0627
W0623
W0624
W0625
W0626
W0771
W0774
W0776
W0779
W0781
W0834
W0446
W0450
W0451
W0452
W0524
W0525
W0528
W0531
W0532
W0533
W0535
W0536
W0045
W0046
W0047
W0049
W0053
W0054
W0058
W0060
