Unique.ID,GBS,GH.Pos,Tube.No,Pod.Produced,Medic.spp,Range,Site.ID,Origin,Community,changed from MSU shipment name,MSU.Genotype,Generation.Received,WSU.Genotype,Planted,Flowered,flowertime,flowertime140,Lat,Long,Lat.Group,growthstage_13days,growthstage_26days,growthstagedifference,leafcount_13days,leafcount_26days,leafdifference,Seedling.Notes 4.22.16,NonPoly,Status
W0188,no,9,629,Field,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC25-02,F0,MP-ARC25-02-F0,4/9/16,6/13/16,65,65,40.870111,-124.112735,3,5,7,2,1,4,3,,no,1
W0209,no,10,393,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC04,F1,MP-ARC04-F1,4/9/16,8/1/16,114,114,40.870111,-124.112735,3,3,7,4,0,3,3,"hairy, 1 small, warped cots, root on surface",yes,1
W0238,yes,11,87,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC08,F1,MP-ARC08-F1,4/9/16,7/18/16,100,100,40.870111,-124.112735,3,5,8,3,1,5,4,,no,1
W0289,yes,12,126,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC15,F1,MP-ARC15-F1,4/9/16,6/6/16,58,58,40.870111,-124.112735,3,4,7,3,0,3,3,,no,1
W0348,yes,14,137,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC14,F1,MP-ARC14-F1,4/9/16,6/6/16,58,58,40.870111,-124.112735,3,4,9,5,0,8,8,,no,1
W0374,yes,15,414,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC05,F1,MP-ARC05-F1,4/9/16,6/8/16,60,60,40.870111,-124.112735,3,5,7,2,1,3,2,,no,1
W0454,no,17,626,Field,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC05-01,F0,MP-ARC05-01-F0,4/9/16,NA,NA,140,40.870111,-124.112735,3,5,8,3,1,6,5,,no,0
W0484,yes,19,52,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC23,F1,MP-ARC23-F1,4/9/16,6/17/16,69,69,40.870111,-124.112735,3,4,7,3,0,4,4,,no,1
W0517,no,20,630,Field,Mpol,Invaded,ARC,"Arcata, CA, USA",,ARC29,ARC29-01,F0,MP-ARC29-01-F0,4/9/16,6/15/16,67,67,40.870111,-124.112735,3,5,7,2,1,3,2,,no,1
W0526,yes,21,130,MSU,Mpol,Invaded,ARC,"Arcata, CA, USA",,,ARC21,F1,MP-ARC21-F1,4/9/16,5/31/16,52,52,40.870111,-124.112735,3,4,7,3,0,3,3,,no,1
