"Sample","Site","Replicate","Genotype","Range","PODHr0","PODHr4","PODHr24"
"W0134","NAR",3,"NARc2-01","Native",1.56083377747179,1.37697462917109,2.94397719204209
"W0135","HUE",1,"HUE19","Native",1.96040315635788,1.37565596291483,3.21338130555056
"W0135","HUE",2,"HUE19","Native",2.03226959304056,1.37699196845758,3.21536281214342
"W0135","HUE",3,"HUE19","Native",1.96706131155647,1.37163720331992,3.09079335633374
"W0137","FUS",1,"FUSF5","Native",1.99212909589371,1.38357819829111,2.70771513659916
"W0137","FUS",2,"FUSF5","Native",1.92197410922658,1.38085463782407,2.56726596081417
"W0137","FUS",3,"FUSF5","Native",2.13381370076694,1.38945392141026,2.56456273460731
"W0138","LDS",1,"LDSc3-04","Native",2.23935290777053,1.37649472813109,4.02524145538256
"W0138","LDS",2,"LDSc3-04","Native",2.40809265666331,1.37738958277693,3.78643178732395
"W0138","LDS",3,"LDSc3-04","Native",2.20859756750849,1.38629436111989,3.58796719215529
"W0140","HIG",1,"HIG10-02","Native",1.75811143510982,1.385552246058,2.28701738818067
"W0140","HIG",2,"HIG10-02","Native",1.79817268406277,1.3844380398146,2.36432498617598
"W0140","HIG",3,"HIG10-02","Native",1.75015847447046,1.39110473117279,2.36075173071499
"W0142","CAM",1,"CAM20","Native",-0.470003629245736,1.39233146440623,2.39175759460916
"W0142","CAM",2,"CAM20","Native",-1.38629436111989,1.38109053324486,2.60197718096109
"W0142","CAM",3,"CAM20","Native",-1.02140518265515e-14,1.38629436111989,2.38513943676669
"W0144","AZN",1,"AZN19","Native",1.31407615330809,1.38710309549474,2.29167837274291
"W0144","AZN",2,"AZN19","Native",1.30966113509897,1.38629436111989,2.01558075692876
"W0144","AZN",3,"AZN19","Native",1.59623640057556,1.39515466878229,1.90539077217998
"W0145","SAN",1,"SAN20-03","Native",1.31506685183152,1.38299946522304,3.2769117685182
"W0145","SAN",2,"SAN20-03","Native",1.31372366828506,1.37748373143774,3.16857835244072
"W0145","SAN",3,"SAN20-03","Native",1.31640823365572,1.3807968211607,3.22199851620511
"W0146","ARC",1,"ARC25-01","Invasive",1.88066962718691,1.39562568854877,2.538882174208
"W0146","ARC",2,"ARC25-01","Invasive",1.91382183450381,1.38837552732372,2.51381122320661
"W0146","ARC",3,"ARC25-01","Invasive",1.93456787245138,1.39459316393459,2.50046443981893
"W0149","CRG",1,"CRG20","Native",1.94337850213353,1.39440094865288,3.06742420201011
"W0149","CRG",2,"CRG20","Native",1.84675778926206,1.38745647630007,3.0682624250265
"W0149","CRG",3,"CRG20","Native",1.86793721812882,1.38629436111989,3.02721348114116
"W0152","DEB",1,"DEB27","Native",1.73022717753941,2.19536064389816,2.74050040768828
"W0152","DEB",2,"DEB27","Native",1.7227665977411,2.2120122774906,2.4953779496553
"W0152","DEB",3,"DEB27","Native",1.77877227370124,2.21262371132194,3.08046034402778
"W0153","DCR",1,"DCR19","Invasive",1.80262914146496,2.60786147384678,2.50484086468882
"W0153","DCR",2,"DCR19","Invasive",1.91740465605739,2.55567572067621,2.80843190004315
"W0153","DCR",3,"DCR19","Invasive",1.90528329552504,2.55178617862755,2.58082677166674
"W0154","LIS",1,"LIS18","Native",1.96470965832863,3.8595049711447,6.18826412308259
"W0154","LIS",2,"LIS18","Native",2.07574467979851,4.12375283006625,5.8348107370626
"W0154","LIS",3,"LIS18","Native",2.06830970131099,3.65517836349937,6.0585389127723
"W0155","MLR",1,"MLR20","Invasive",1.37353727811912,2.2197140044322,2.82308750218928
"W0155","MLR",2,"MLR20","Invasive",1.37210972612793,2.21423053245795,2.87365827692242
"W0155","MLR",3,"MLR20","Invasive",1.37425029062705,2.17498049336147,2.77500293275881
"W0156","BHI",1,"BHI33-19","Invasive",1.30619682738203,2.04090607756077,2.81526945335466
"W0156","BHI",2,"BHI33-19","Invasive",1.31824089787487,2.01597771167203,2.89230786692303
"W0156","BHI",3,"BHI33-19","Invasive",1.30833281965018,2.02613008313605,2.75573233191728
"W0157","MUS",1,"MUSs1-15","Native",1.27989811258853,2.495466410003,3.20426967247884
"W0157","MUS",2,"MUSs1-15","Native",1.27643790152364,2.46236141146694,3.10626688048555
"W0157","MUS",3,"MUSs1-15","Native",1.27643790152364,2.61813943095358,3.10458667846607
"W0158","SAN",1,"SAN28-01","Native",1.98293427601709,2.29214113383296,2.42935783156024
"W0158","SAN",2,"SAN28-01","Native",2.0049526896891,1.98710313226467,2.44080951969117
"W0158","SAN",3,"SAN28-01","Native",2.07820315142869,2.0875256600798,2.35590812818347
"W0161","LDS",1,"LDSc3-10","Native",1.91554525142206,2.00824583951308,2.62778960476892
"W0161","LDS",2,"LDSc3-10","Native",1.82645435692313,2.04263497374297,2.83475003279503
"W0161","LDS",3,"LDSc3-10","Native",1.33058375410588,1.95467326546344,2.82063942851489
"W0162","DEB",1,"DEB28-04","Native",1.90994067331494,2.06645434615303,3.12739540623011
"W0162","DEB",2,"DEB28-04","Native",1.59514267224727,2.02899678361812,3.14216090728734
"W0162","DEB",3,"DEB28-04","Native",1.64865862558738,1.99360249776703,3.37056711571391
"W0163","LIS",1,"LIS22","Native",1.631988737956,1.39046973253037,2.8735476733172
"W0163","LIS",2,"LIS22","Native",1.61730164889432,1.38524778854922,2.88518649914266
"W0163","LIS",3,"LIS22","Native",1.57915955312784,1.38105051061388,2.8956962297098
