Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Protein,Range,Genotype,Site
D08,W0426,0,0.0241,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.136,51540.41494,Native,DEB32,DEB
D09,W0426,0,0.0241,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1256,47406.73859,Native,DEB32,DEB
D10,W0083,0,0.0523,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1912,33860.13002,Native,MUSs2-04,MUS
D11,W0083,0,0.0523,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1943,34427.91013,Native,MUSs2-04,MUS
D12,W0083,0,0.0523,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1975,35014.00574,Native,MUSs2-04,MUS
E01,W0427,0,0.0249,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1736,64349.17269,Native,W65323,Fra
E02,W0427,0,0.0249,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1699,62925.78715,Native,W65323,Fra
E03,W0427,0,0.0249,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1655,61233.11245,Native,W65323,Fra
E04,W0084,0,0.0232,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1533,60682.78879,Native,CDCc2-06-01,CDC
E05,W0084,0,0.0232,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1537,60847.94397,Native,CDCc2-06-01,CDC
E06,W0084,0,0.0232,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1513,59857.01293,Native,CDCc2-06-01,CDC
E07,W0085,0,0.0428,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.143,30588.24766,Native,HIG12-03,HIG
E08,W0085,0,0.0428,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1442,30856.81776,Native,HIG12-03,HIG
E09,W0085,0,0.0428,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1411,30163.01168,Native,HIG12-03,HIG
E10,W0475,0,0.0176,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1546,80698.48864,Native,W65326,Fra2
E11,W0475,0,0.0176,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1555,81188.32386,Native,W65326,Fra2
E12,W0475,0,0.0176,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1572,82113.56818,Native,W65326,Fra2
F01,W0476,0,0.0163,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1547,87193.33129,Native,DEB32-02,DEB
F02,W0476,0,0.0163,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1493,84019.92025,Native,DEB32-02,DEB
F03,W0476,0,0.0163,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1479,83197.18405,Native,DEB32-02,DEB
F04,W0113,0,0.0175,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1593,83732.26857,Native,SAN31-02,SAN
F05,W0113,0,0.0175,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1567,82309.10286,Native,SAN31-02,SAN
F06,W0113,0,0.0175,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1571,82528.05143,Native,SAN31-02,SAN
F07,W0114,0,0.0239,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.176,68003.51464,Native,W65327,Fra_cor
F08,W0114,0,0.0239,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1605,61791.19247,Native,W65327,Fra_cor
F09,W0114,0,0.0239,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1581,60829.28452,Native,W65327,Fra_cor
F10,W0478,0,0.0012,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2036,1574720.333,Native,SAN31-01,SAN
F11,W0478,0,0.0012,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2039,1577115.083,Native,SAN31-01,SAN
F12,W0478,0,0.0012,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1983,1532413.083,Native,SAN31-01,SAN
G01,W0115,0,0.0223,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2338,97710.7713,Native,MUSs2-09,MUS
G02,W0115,0,0.0223,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2271,94832.77578,Native,MUSs2-09,MUS
G03,W0115,0,0.0223,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2161,90107.70852,Native,MUSs2-09,MUS
G04,W0479,0,0.015,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1485,90790.76667,Native,CDCc2-09,CDC
G05,W0479,0,0.015,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1485,90790.76667,Native,CDCc2-09,CDC
G06,W0479,0,0.015,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1525,93345.16667,Native,CDCc2-09,CDC
G07,W0480,0,0.0115,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2091,168899.9043,Native,HIG15-02,HIG
G08,W0480,0,0.0115,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1993,160736.9304,Native,HIG15-02,HIG
G09,W0480,0,0.0115,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1968,158654.5391,Native,HIG15-02,HIG
G10,W0116,0,0.0085,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1738,188730.6118,Native,NARc3-08,NAR
G11,W0116,0,0.0085,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1784,193914.5412,Native,NARc3-08,NAR
G12,W0116,0,0.0085,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.18,195717.6471,Native,NARc3-08,NAR
H01,W0117,0,0.0109,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2347,200694.6147,Native,HIG16-01,HIG
H02,W0117,0,0.0109,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2238,191115.6147,Native,HIG16-01,HIG
H03,W0117,0,0.0109,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2248,191994.422,Native,HIG16-01,HIG
H04,W0118,0,0.0247,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1436,53235.80567,Native,CDCc2-13,CDC
H05,W0118,0,0.0247,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1385,51257.95547,Native,CDCc2-13,CDC
H06,W0118,0,0.0247,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1392,51529.4251,Native,CDCc2-13,CDC
H07,W0119,0,0.0266,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1643,56887.58271,Native,PI478440,Bol
H08,W0119,0,0.0266,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1606,55555.16541,Native,PI478440,Bol
H09,W0119,0,0.0266,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1561,53934.65789,Native,PI478440,Bol
H10,W0120,0,0.0309,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.186,55698.1877,Native,MUSs2-01,MUS
H11,W0120,0,0.0309,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1835,54923.1877,Native,MUSs2-01,MUS
H12,W0120,0,0.0309,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1816,54334.1877,Native,MUSs2-01,MUS
A01,W0513,0,0.0055,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.1732,290629.6,Native,CDCc2-06-02,CDC
A02,W0513,0,0.0055,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.167,279831.4545,Native,CDCc2-06-02,CDC
