"Sample","Site","Replicate","Genotype","Range","ProteinHr0","ProteinHr4","ProteinHr24","PODHr0","PODHr4","PODHr24","PPOHr0","PPOHr4","PPOHr24"
"W0076","ARC",1,"ARC29","Invasive",11.4384595742636,11.1738415189031,10.8389200792872,1.80695868896145,1.37919373957031,2.01554590066727,0.400045040638825,0.947862527749968,-0.0162078102268533
"W0076","ARC",2,"ARC29","Invasive",11.5095062206111,11.1789025282636,10.8236964503629,1.79625385881589,1.37562443179519,2.09499519520896,0.425091072564913,0.925680472223995,0.0802900181731276
"W0076","ARC",3,"ARC29","Invasive",11.3875395260524,11.1738415189031,10.8364998192278,1.79175946922805,1.37681561716535,1.88921097747372,0.381762995801376,0.929411819836853,0.0532206962049097
"W0077","DEB",1,"DEB30","Native",11.390367107781,11.4220245686523,10.637068062896,1.92925697485752,1.36431545440112,2.0409182596835,0.485063074835967,1.18008731933658,0.198554292555774
"W0077","DEB",2,"DEB30","Native",11.3579259663816,11.4641302573431,10.6406273856834,1.92504998505989,1.34992671694902,2.0925975151609,0.43020471428392,1.19711705918138,0.246133069538909
"W0077","DEB",3,"DEB30","Native",11.3572792261019,11.4647547827822,10.6299111842705,1.91317537563918,1.35153572775472,2.10652619871936,0.391885849981784,1.18199389760716,0.206993161201638
"W0079","LDS",1,"LDSc3-11","Native",10.7649790475931,11.0494290164267,10.5504497875332,1.7056721643818,1.38421751717505,2.89037175789616,0.576422906251804,0.737779334580713,0.480143889113506
"W0079","LDS",2,"LDSc3-11","Native",10.7553285638098,11.148596466347,10.557640977526,1.74076348419307,1.39249913800677,2.95148214750948,0.619299930608196,0.788080073055513,0.509385738708003
"W0079","LDS",3,"LDSc3-11","Native",10.7819837645437,11.0588617688058,10.5588344973669,1.74254548644664,1.38836690072186,2.62230246836884,0.600883203821965,0.819651868931324,0.505053601968868
"W0080","NAR",1,"NARc3-04","Native",11.6785035819288,10.8201413414971,11.4506256353451,1.3845070505458,1.43334277835228,2.26582289367897,0.456520278908449,0.586309014097606,0.236077300098778
"W0080","NAR",2,"NARc3-04","Native",11.6621357982142,10.8321575566589,11.4572393534317,1.38092281731798,1.41978054414993,2.26704988769794,0.451985123743057,0.390964017417365,0.475903351372923
"W0080","NAR",3,"NARc3-04","Native",11.6627249982742,10.8458930439043,11.4512286931689,1.37732569113713,1.39374164419517,2.1853196748299,0.447429307207196,0.554381419572166,0.526093095896779
"W0082","SAN",1,"SAN28-02","Native",11.3544612890138,10.296646990506,12.5062246701889,1.37775459957176,1.38367587310896,3.27416114052529,0.430102412493549,0.637218627900721,1.84305276361561
"W0082","SAN",2,"SAN28-02","Native",11.326589575795,10.3027149059073,12.5198243024771,1.40982485853008,1.37841823744356,3.29778428628873,0.425667815425684,0.542129662564724,1.83468451394509
"W0082","SAN",3,"SAN28-02","Native",11.3475658498369,10.314077025962,12.5289918620569,1.36567507391715,1.37683554125457,3.0950217662098,0.469152927365423,0.551814968299187,1.82624564529922
"W0083","MUS",1,"MUSs2-04","Native",10.4299934956089,10.8034253693687,11.0290323905792,1.57560229120183,1.39980808028661,1.95586598350095,0.566963759491671,0.785670549457092,0.700899157364263
"W0083","MUS",2,"MUSs2-04","Native",10.4466228553907,10.8282841158427,11.0284275087212,1.57124153107039,1.38032419413339,2.08380942049991,0.51692552830726,0.760551489361761,0.721912346963078
"W0083","MUS",3,"MUSs2-04","Native",10.4635034244273,10.8455787615311,11.0296369066141,1.57876185149219,1.38629436111989,1.92682988447218,0.529390278927247,0.782564956898937,0.679434918695963
"W0084","CDC",1,"CDCc2-06-01","Native",11.0134153913715,11.0258667448078,10.8747071203209,1.82774218710756,1.35997705280252,2.22136758325413,0.94350329539904,0.782140718753568,0.659956360968198
"W0084","CDC",2,"CDCc2-06-01","Native",11.0161333093485,11.0366071521707,10.8920052150857,1.8298190310524,1.36662159552119,2.28350385491862,0.936769263217694,0.836103713644052,0.670557166954839
"W0084","CDC",3,"CDCc2-06-01","Native",10.9997138792261,11.0439248303172,11.0178731253148,1.88759197863423,1.3710268889891,2.37450609028635,0.956836826268506,0.867500567704723,0.687979210401503
"W0085","HIG",1,"HIG12-03","Native",10.3283711507705,10.7916489793566,10.8374843566465,1.47296494795993,1.4203609156835,2.11987511125833,0.433116639438674,0.413136378604816,0.639978512679267
"W0085","HIG",2,"HIG12-03","Native",10.3371130019999,10.7811894243798,10.8325994943042,1.45948402123346,1.40913385308971,2.2311620866538,0.467371663988994,0.679857948441262,0.641683542930351
"W0085","HIG",3,"HIG12-03","Native",10.3143716739005,10.7699549530974,10.8289201241661,1.47510513069229,1.39777931098679,2.13873270296913,0.458548077330478,0.668083211896729,0.656899390167604
"W0113","SAN",1,"SAN31-02","Native",11.3353797087046,9.9951594363064,11.0321622706496,1.77349851009345,1.38244672266782,2.70001802940495,0.836628904037637,0.423227564448004,0.851858871714766
"W0113","SAN",2,"SAN31-02","Native",11.3182369863811,10.0111414963759,11.0334008789171,1.7207236961113,1.38128953835354,2.65521185408621,0.80392158606185,0.448067391014156,0.845009529869192
"W0113","SAN",3,"SAN31-02","Native",11.3208935318633,10.0177260305526,11.0334008789171,1.73896128366108,1.3704240841555,2.62669552205938,0.919713439151658,0.44610275383999,0.836381348645853
"W0115","MUS",1,"MUSs2-09","Native",11.4897670806745,11.0734905394943,10.5025214176638,1.36819431947627,1.36687627526279,2.48606071800611,-0.5949874160877,1.1016243391381,0.650687972788154
