ExptDate,AssayID,InsectSpp,Site,PlantID,Replicate,Genotype,Range,InitialWeight,FinalWeight,TotalWeight,PropLeafEaten,PropTotalEaten,WL_own,WL_total,Ratio_Consumed
7/12/16,V046,Velvetbean,CA1,W0778,1,PI577392,Invasive,0.053,0.0503,0.1691,0.050943396,0.015966884,0,0,0.762350959
7/12/16,V047,Velvetbean,DCR,W0780,1,DCR13,Invasive,0.0556,0.0541,0.1318,0.026978417,0.01138088,0,0,0.547581275
7/12/16,V048,Velvetbean,SDS,W0783,1,SDS2-03,Invasive,0.0629,0.0563,0.07473,0.104928458,0.088317945,1,1,1.11722913
7/12/16,V049,Velvetbean,MLR,W0790,1,MLR13,Invasive,0.0971,0.0409,0.1766,0.578784758,0.318233296,1,1,1.28110901
7/12/16,V050,Velvetbean,ARC,W0792,1,ARC20,Invasive,0.0921,0.0458,0.1437,0.502714441,0.322199026,1,1,1.714735452
7/12/16,V051,Velvetbean,DCR,W0272,1,DCR06,Invasive,0.049,0.0381,0.1365,0.22244898,0.07985348,0,0,0.811338583
7/12/16,V052,Velvetbean,DCR,W0466,1,DCR04,Invasive,0.0435,0.0412,0.1867,0.052873563,0.012319229,0,0,0.696756183
7/12/16,V053,Velvetbean,PAL,W0467,1,PAL07,Invasive,0.0838,0.0474,0.1941,0.434367542,0.1875322,1,1,1.674967771
7/12/16,V054,Velvetbean,BHI,W0349,1,BHI33-09,Invasive,0.0681,0.0294,0.1381,0.568281938,0.280231716,1,1,2.177346939
7/12/16,V055,Velvetbean,BHI,W0285,1,BHI33-10,Invasive,0.0344,0.0268,0.1315,0.220930233,0.057794677,0,0,0.991438277
7/14/16,V056,Velvetbean,ARC,W0526,1,ARC21,Invasive,0.0382,0.0382,0.0953,0,0,0,0,0.157618214
7/14/16,V057,Velvetbean,DCR,W0527,1,DCR14,Invasive,0.0433,0.0347,0.1301,0.198614319,0.066102998,0,0,0.917190135
7/14/16,V058,Velvetbean,BHI,W0529,1,BHI33-14,Invasive,0.0357,0.0213,0.0722,0.403361345,0.199445983,0,0,0.794404785
7/14/16,V059,Velvetbean,MEL,W0530,1,MEL22,Invasive,0.0484,0.0031,0.1059,0.935950413,0.42776204,1,1,11.07837307
7/14/16,V060,Velvetbean,SDS,W0545,1,SDS2-04,Invasive,0.0505,0.0251,0.0842,0.502970297,0.301662708,1,1,1.211947462
7/14/16,V061,Velvetbean,MLR,W0546,1,MLR14,Invasive,0.0806,0.0803,0.1721,0.003722084,0.001743173,0,0,0.990572239
7/14/16,V062,Velvetbean,EMO,W0549,1,EMO14,Invasive,0.0773,0.044,0.1514,0.430789133,0.21994716,0,0,0.587976935
7/14/16,V063,Velvetbean,PEA,W0550,1,PEA22-01,Invasive,0.0492,0.0472,0.1364,0.040650407,0.014662757,0,0,0.580955528
7/14/16,V064,Velvetbean,MLR,W0044,1,MLR16,Invasive,0.0316,0.0157,0.0923,0.503164557,0.172264355,1,1,1.681150904
7/14/16,V065,Velvetbean,EMO,W0048,1,EMO15,Invasive,0.0336,0.0231,0.0817,0.3125,0.128518972,0,0,0.84974485
7/14/16,V066,Velvetbean,DCR,W0050,1,DCR15,Invasive,0.0581,0.0566,0.1243,0.025817556,0.012067578,0,0,0.924161711
7/14/16,V067,Velvetbean,MEL,W0057,1,MEL23,Invasive,0.0227,0.0182,0.0538,0.198237885,0.083643123,0,0,0.870269602
7/14/16,V068,Velvetbean,BHI,W0059,1,BHI33-15,Invasive,0.068,0.0472,0.132,0.305882353,0.157575758,1,1,1.12778072
7/14/16,V069,Velvetbean,PEA,W0070,1,PEA23,Invasive,0.0288,0.0008,0.0796,0.972222222,0.351758794,1,1,18
7/14/16,V070,Velvetbean,ARC,W0071,1,ARC22,Invasive,0.0306,0.0203,0.0982,0.336601307,0.104887984,1,1,1.293322063
7/14/16,V071,Velvetbean,SDS,W0073,1,SDS2-05,Invasive,0.0735,0.0646,0.1187,0.121088435,0.074978939,0,0,0.040275076
7/6/16,V001,Velvetbean,HIG,W0431,1,HIG02-02,Native,0.07328,0.0687,0.14615,0.0625,0.031337667,1,1,1.042221307
7/6/16,V002,Velvetbean,NAR,W0458,1,NARc3-12,Native,0.03897,0.03897,0.12211,0,0,0,0,0.535241761
7/6/16,V003,Velvetbean,AUR,W0471,1,AUR09,Native,0.05903,0.0324,0.1431,0.451126546,0.186093641,1,1,1.456317266
7/6/16,V004,Velvetbean,,W0256,1,,Native,0.06378,0.0429,,,,,,
7/6/16,V005,Velvetbean,CRG,W0279,1,CRG06,Native,0.06496,0.029,0.1369,0.553571429,0.262673484,1,1,2.039477342
7/6/16,V006,Velvetbean,MUS,W0444,1,MUSs1-03,Native,0.03098,0.0287,0.12824,0.073595868,0.017779164,0,0,0.99442781
7/6/16,V007,Velvetbean,SAN,W0459,1,SAN09-03,Native,0.0829,0.0762,0.17625,0.080820265,0.038014184,0,0,0.990613318
7/6/16,V008,Velvetbean,AZN,W0472,1,AZN04,Native,0.03724,0.03724,0.08102,0,0,0,0,0.842850617
7/6/16,V009,Velvetbean,AZN,W0265,1,AZN06,Native,0.0495,0.0057,0.09983,0.884848485,0.438745868,1,1,2.639944785
7/6/16,V010,Velvetbean,CAR,W0453,1,CAR06-01,Native,0.08154,0.031,0.13826,0.619818494,0.36554318,0,1,0.700244552
7/6/16,V011,Velvetbean,FUS,W0462,1,FUSB1,Native,0.06698,0.0254,0.11071,0.620782323,0.375575829,0,1,0.379902804
7/6/16,V012,Velvetbean,SPA,W0808,1,PI319029,Native,0.04819,0.0333,0.17408,0.308985267,0.085535386,1,0,1.000093747
7/6/16,V013,Velvetbean,SAN,W0239,1,SAN11-02,Native,0.10174,0.0811,0.1646,0.202870061,0.125394897,0,1,0.933990278
7/6/16,V014,Velvetbean,ALG,W0269,1,W65435,Native,0.1036,0.0927,0.17571,0.105212355,0.062034033,1,1,1.058535017
7/6/16,V015,Velvetbean,RTM,W0814,1,RTM08,Native,0.04852,0.041,0.11707,0.154987634,0.064235073,1,0,1.035811496
7/6/16,V016,Velvetbean,FUR,W0455,1,FURc1-03,Native,0.08333,0.0729,0.13783,0.125165007,0.07567293,0,1,0.985769119
7/6/16,V017,Velvetbean,DEB,W0464,1,DEB04,Native,0.05262,0.0487,0.09697,0.074496389,0.040424874,1,1,1.076838384
7/6/16,V018,Velvetbean,ALT,W0245,1,ALT06,Native,0.0252,0.0239,0.07759,0.051587302,0.016754736,0,0,0.177107484
7/6/16,V019,Velvetbean,MIR,W0456,1,MIRc1-04,Native,0.11707,0.1124,0.23833,0.039890664,0.01959468,0,0,0.964587211
7/6/16,V020,Velvetbean,AFG,W0465,1,PI250782,Native,0.04279,0.0403,0.11367,0.058191166,0.021905516,1,1,1.0617866
