PlantID,Range,AmtConsumed,CatStage,Herbivore,Population,Partner_Pop
W0527,Invaded,0.0086,D,Velvetbean Caterpillar,DCR,HIG
W0529,Invaded,0.0144,D,Velvetbean Caterpillar,BHI,FUR
W0530,Invaded,0.0453,D,Velvetbean Caterpillar,MEL,HUE
W0545,Invaded,0.0254,D,Velvetbean Caterpillar,SDS,RTM
W0546,Invaded,3.00E-04,D,Velvetbean Caterpillar,MLR,SAN
W0549,Invaded,0.0333,D,Velvetbean Caterpillar,EMO,ALT
W0550,Invaded,0.002,D,Velvetbean Caterpillar,PEA,CVD
W0044,Invaded,0.0159,D,Velvetbean Caterpillar,MLR,DEB
W0048,Invaded,0.0105,D,Velvetbean Caterpillar,EMO,MUS
W0050,Invaded,0.0015,D,Velvetbean Caterpillar,DCR,LDS
W0057,Invaded,0.0045,D,Velvetbean Caterpillar,MEL,CAM
W0059,Invaded,0.0208,D,Velvetbean Caterpillar,BHI,SCA
W0070,Invaded,0.028,D,Velvetbean Caterpillar,PEA,LIS
W0071,Invaded,0.0103,D,Velvetbean Caterpillar,ARC,HUE
W0073,Invaded,0.0089,D,Velvetbean Caterpillar,SDS,CRG
W0431,Native,0.01817,A,Soybean Looper,HIG,MEL
W0458,Native,0.01776,A,Soybean Looper,NAR,RIV
W0471,Native,0.00274,A,Soybean Looper,AUR,STA
W0256,Native,0.02554,A,Soybean Looper,DEB,DCR
W0279,Native,0.02391,A,Soybean Looper,CRG,DCR
W0444,Native,0.01754,A,Soybean Looper,MUS,MAG
W0459,Native,0.06041,A,Soybean Looper,SAN,ARC
W0472,Native,0.03486,A,Soybean Looper,AZN,BHI
W0265,Native,0.00285,A,Soybean Looper,AZN,MLR
W0453,Native,0.01019,A,Soybean Looper,CAR,ARC
W0462,Native,0.04261,A,Soybean Looper,FUS,MEL
W0808,Native,0.00563,A,Soybean Looper,MP-PI319029,STA
W0239,Native,0.01242,A,Soybean Looper,SAN,PEA
W0269,Native,0.05033,A,Soybean Looper,MP-W65435,PAL
W0814,Native,0.0075,A,Soybean Looper,RTM,EMO
W0455,Native,0.0516,A,Soybean Looper,FUR,BHI
W0464,Native,0.02736,A,Soybean Looper,DEB,EMO
W0245,Native,0.02201,A,Soybean Looper,ALT,SDS
W0456,Native,0.04273,A,Soybean Looper,MIR,MLR
W0465,Native,0.01808,A,Soybean Looper,MP-PI250782,MLR
W0255,Native,0.05423,A,Soybean Looper,NAR,PAL
W0278,Native,0.02906,A,Soybean Looper,AUR,MEL
W0819,Native,0.04649,A,Soybean Looper,DEB,SDS
W0816,Native,0.05586,A,Soybean Looper,SAN,PEA
W0271,Native,0.00826,A,Soybean Looper,HIG,BHI
W0364,Native,0.0277,B,Soybean Looper,MIR,STA
W0287,Native,0.0334,B,Soybean Looper,ORB,ARC
W0290,Native,0.014,B,Soybean Looper,SAN,MP-PI566876
W0295,Native,0.0573,B,Soybean Looper,SCA,SDS
W0304,Native,0.0121,B,Soybean Looper,HIG,MLR
W0305,Native,0.7213,B,Soybean Looper,HUE,MEL
W0306,Native,0.0248,B,Soybean Looper,COS,STA
W0307,Native,0.0295,B,Soybean Looper,CAM,DCR
W0321,Native,-0.0244,B,Soybean Looper,SAN,EMO
W0614,Native,0.01,C,Soybean Looper,CRG,BHI
W0617,Native,0.0054,C,Soybean Looper,BOL,EMO
W0618,Native,0.0249,C,Soybean Looper,FUR,PEA
W0619,Native,0.0426,C,Soybean Looper,CAM,MLR
W0627,Native,0.022,C,Soybean Looper,RHA,SDS
W0623,Native,0.0097,C,Soybean Looper,CVD,MP-PI577391
W0624,Native,0.0273,C,Soybean Looper,RTM,DCR
W0625,Native,0.0176,C,Soybean Looper,DEB,MEL
W0626,Native,0.0227,C,Soybean Looper,HIG,EMO
W0771,Native,0.0199,C,Soybean Looper,SAN,MP-PI577392
W0774,Native,0.0169,C,Soybean Looper,FUS,DCR
W0776,Native,0.0263,C,Soybean Looper,CAM,SDS
W0779,Native,0.0547,C,Soybean Looper,DEB,MLR
W0781,Native,0.0139,C,Soybean Looper,RTM,ARC
W0834,Native,0.0571,C,Soybean Looper,CAR,DCR
W0446,Native,0.0523,C,Soybean Looper,LIS,DCR
W0450,Native,0.0349,C,Soybean Looper,HIG,PAL
W0451,Native,0.006,C,Soybean Looper,MP-PI493291,BHI
W0452,Native,0.0319,C,Soybean Looper,NAR,BHI
W0524,Native,0.0274,D,Soybean Looper,AZN,ARC
W0525,Native,0.0095,D,Soybean Looper,HIG,DCR
W0528,Native,0.0069,D,Soybean Looper,FUR,BHI
W0531,Native,0.0135,D,Soybean Looper,HUE,MEL
W0532,Native,0.0118,D,Soybean Looper,RTM,SDS
W0533,Native,0.0369,D,Soybean Looper,SAN,MLR
W0535,Native,0.0209,D,Soybean Looper,ALT,EMO
W0536,Native,0.0038,D,Soybean Looper,CVD,PEA
W0045,Native,0.0198,D,Soybean Looper,DEB,MLR
W0046,Native,0.0048,D,Soybean Looper,MUS,EMO
W0047,Native,0.0065,D,Soybean Looper,LDS,DCR
W0049,Native,-0.0045,D,Soybean Looper,CAM,MEL
W0053,Native,0.0053,D,Soybean Looper,SCA,BHI
W0054,Native,0.0392,D,Soybean Looper,LIS,PEA
W0058,Native,0.0099,D,Soybean Looper,HUE,ARC
W0060,Native,0.0196,D,Soybean Looper,CRG,SDS
W0431,Native,0.00458,A,Velvetbean Caterpillar,HIG,MEL
W0458,Native,-0.02003,A,Velvetbean Caterpillar,NAR,RIV
W0471,Native,0.02663,A,Velvetbean Caterpillar,AUR,STA
W0256,Native,0.02088,A,Velvetbean Caterpillar,DEB,DCR
W0279,Native,0.03596,A,Velvetbean Caterpillar,CRG,DCR
W0444,Native,0.00228,A,Velvetbean Caterpillar,MUS,MAG
W0459,Native,0.0067,A,Velvetbean Caterpillar,SAN,ARC
W0472,Native,-0.00206,A,Velvetbean Caterpillar,AZN,BHI
W0265,Native,0.0438,A,Velvetbean Caterpillar,AZN,MLR
W0453,Native,0.05054,A,Velvetbean Caterpillar,CAR,ARC
W0462,Native,0.04158,A,Velvetbean Caterpillar,FUS,MEL
W0808,Native,0.01489,A,Velvetbean Caterpillar,MP-PI319029,STA
W0239,Native,0.02064,A,Velvetbean Caterpillar,SAN,PEA
W0269,Native,0.0109,A,Velvetbean Caterpillar,MP-W65435,PAL
W0814,Native,0.00752,A,Velvetbean Caterpillar,RTM,EMO
W0455,Native,0.01043,A,Velvetbean Caterpillar,FUR,BHI
W0464,Native,0.00392,A,Velvetbean Caterpillar,DEB,EMO
W0245,Native,0.0013,A,Velvetbean Caterpillar,ALT,SDS
W0456,Native,0.00467,A,Velvetbean Caterpillar,MIR,MLR
W0465,Native,0.00249,A,Velvetbean Caterpillar,MP-PI250782,MLR
W0255,Native,-0.0025,A,Velvetbean Caterpillar,NAR,PAL
W0278,Native,0.10754,A,Velvetbean Caterpillar,AUR,MEL
W0819,Native,0.00623,A,Velvetbean Caterpillar,DEB,SDS
W0816,Native,0.04629,A,Velvetbean Caterpillar,SAN,PEA
W0271,Native,0.00619,A,Velvetbean Caterpillar,HIG,BHI
W0364,Native,0.026,B,Velvetbean Caterpillar,MIR,STA
W0287,Native,0.0317,B,Velvetbean Caterpillar,ORB,ARC
W0290,Native,0.0625,B,Velvetbean Caterpillar,SAN,MP-PI566876
W0295,Native,0.0087,B,Velvetbean Caterpillar,SCA,SDS
W0304,Native,0.0487,B,Velvetbean Caterpillar,HIG,MLR
W0305,Native,0.0684,B,Velvetbean Caterpillar,HUE,MEL
W0306,Native,0.0404,B,Velvetbean Caterpillar,COS,STA
W0307,Native,0.0228,B,Velvetbean Caterpillar,CAM,DCR
W0321,Native,0.012,B,Velvetbean Caterpillar,SAN,EMO
W0614,Native,0.0097,C,Velvetbean Caterpillar,CRG,BHI
W0617,Native,0.0022,C,Velvetbean Caterpillar,BOL,EMO
W0618,Native,0.0345,C,Velvetbean Caterpillar,FUR,PEA
W0619,Native,0.0221,C,Velvetbean Caterpillar,CAM,MLR
W0627,Native,0.0409,C,Velvetbean Caterpillar,RHA,SDS
W0623,Native,0.0167,C,Velvetbean Caterpillar,CVD,MP-PI577391
W0624,Native,0.0402,C,Velvetbean Caterpillar,RTM,DCR
W0625,Native,0.0018,C,Velvetbean Caterpillar,DEB,MEL
W0626,Native,0.0287,C,Velvetbean Caterpillar,HIG,EMO
W0771,Native,0.0321,C,Velvetbean Caterpillar,SAN,MP-PI577392
W0774,Native,0.0356,C,Velvetbean Caterpillar,FUS,DCR
W0776,Native,-0.07247,C,Velvetbean Caterpillar,CAM,SDS
W0779,Native,0.0366,C,Velvetbean Caterpillar,DEB,MLR
W0781,Native,0.0076,C,Velvetbean Caterpillar,RTM,ARC
W0834,Native,0.0323,C,Velvetbean Caterpillar,CAR,DCR
W0446,Native,0.0487,C,Velvetbean Caterpillar,LIS,DCR
W0450,Native,0.0058,C,Velvetbean Caterpillar,HIG,PAL
W0451,Native,0.0042,C,Velvetbean Caterpillar,MP-PI493291,BHI
W0452,Native,0.0221,C,Velvetbean Caterpillar,NAR,BHI
W0524,Native,0.0481,D,Velvetbean Caterpillar,AZN,ARC
W0525,Native,0.023,D,Velvetbean Caterpillar,HIG,DCR
W0528,Native,0.0192,D,Velvetbean Caterpillar,FUR,BHI
W0531,Native,0.0167,D,Velvetbean Caterpillar,HUE,MEL
W0532,Native,0.0134,D,Velvetbean Caterpillar,RTM,SDS
W0533,Native,0.0012,D,Velvetbean Caterpillar,SAN,MLR
W0535,Native,0.0493,D,Velvetbean Caterpillar,ALT,EMO
W0536,Native,0.0386,D,Velvetbean Caterpillar,CVD,PEA
W0045,Native,0.01,D,Velvetbean Caterpillar,DEB,MLR
W0046,Native,0.02,D,Velvetbean Caterpillar,MUS,EMO
W0047,Native,0.0066,D,Velvetbean Caterpillar,LDS,DCR
W0049,Native,0.0094,D,Velvetbean Caterpillar,CAM,MEL
W0053,Native,0.0139,D,Velvetbean Caterpillar,SCA,BHI
W0054,Native,0.0254,D,Velvetbean Caterpillar,LIS,PEA
W0058,Native,0.0096,D,Velvetbean Caterpillar,HUE,ARC
W0060,Native,0.0436,D,Velvetbean Caterpillar,CRG,SDS
