Well,Sample,Time,Weight,Replicate
A01,W0120,0,0.0232,1
A02,W0120,0,0.0232,2
A03,W0120,0,0.0232,3
A04,W0513,0,0.0147,1
A05,W0513,0,0.0147,2
A06,W0513,0,0.0147,3
A07,W0121,0,0.0156,1
A08,W0121,0,0.0156,2
A09,W0121,0,0.0156,3
A10,W0122,0,0.0158,1
A11,W0122,0,0.0158,2
A12,W0122,0,0.0158,3
B01,W0514,0,0.0158,1
B02,W0514,0,0.0158,2
B03,W0514,0,0.0158,3
B04,W0123,0,0.0278,1
B05,W0123,0,0.0278,2
B06,W0123,0,0.0278,3
B07,W0515,0,0.0162,1
B08,W0515,0,0.0162,2
B09,W0515,0,0.0162,3
B10,W0124,0,0.0561,1
B11,W0124,0,0.0561,2
B12,W0124,0,0.0561,3
C01,W0516,0,0.0226,1
C02,W0516,0,0.0226,2
C03,W0516,0,0.0226,3
C04,W0127,0,0.0353,1
C05,W0127,0,0.0353,2
C06,W0127,0,0.0353,3
C07,W0128,0,0.0151,1
C08,W0128,0,0.0151,2
C09,W0128,0,0.0151,3
C10,W0517,0,0.0332,1
C11,W0517,0,0.0332,2
C12,W0517,0,0.0332,3
D01,W0518,0,0.0232,1
D02,W0518,0,0.0232,2
D03,W0518,0,0.0232,3
D04,W0130,0,0.0446,1
D05,W0130,0,0.0446,2
D06,W0130,0,0.0446,3
D07,W0132,0,0.0532,1
D08,W0132,0,0.0532,2
D09,W0132,0,0.0532,3
D10,W0520,0,0.0412,1
D11,W0520,0,0.0412,2
D12,W0520,0,0.0412,3
E01,W0134,0,0.0114,1
E02,W0134,0,0.0114,2
E03,W0134,0,0.0114,3
E04,W0135,0,0.0365,1
E05,W0135,0,0.0365,2
E06,W0135,0,0.0365,3
E07,W0522,0,0.03,1
E08,W0522,0,0.03,2
E09,W0522,0,0.03,3
E10,W0137,0,0.0199,1
E11,W0137,0,0.0199,2
E12,W0137,0,0.0199,3
F01,W0138,0,0.0162,1
F02,W0138,0,0.0162,2
F03,W0138,0,0.0162,3
F04,W0600,0,0.0069,1
F05,W0600,0,0.0069,2
F06,W0600,0,0.0069,3
F07,W0140,0,0.0369,1
F08,W0140,0,0.0369,2
F09,W0140,0,0.0369,3
F10,W0601,0,0.0238,1
F11,W0601,0,0.0238,2
F12,W0601,0,0.0238,3
G01,W0142,0,0.0208,1
G02,W0142,0,0.0208,2
G03,W0142,0,0.0208,3
G04,W0603,0,0.0087,1
G05,W0603,0,0.0087,2
G06,W0603,0,0.0087,3
G07,W0143,0,0.035,1
G08,W0143,0,0.035,2
G09,W0143,0,0.035,3
G10,W0144,0,0.0295,1
G11,W0144,0,0.0295,2
G12,W0144,0,0.0295,3
H01,W0604,0,0.0201,1
H02,W0604,0,0.0201,2
H03,W0604,0,0.0201,3
H04,W0145,0,0.0243,1
H05,W0145,0,0.0243,2
H06,W0145,0,0.0243,3
H07,W0605,0,0.0258,1
H08,W0605,0,0.0258,2
H09,W0605,0,0.0258,3
H10,W0146,0,0.0287,1
H11,W0146,0,0.0287,2
H12,W0146,0,0.0287,3
