Well,Sample,Time,Weight,Replicate
A01,W0419,4,0.0213,1
A02,W0419,4,0.0213,2
A03,W0419,4,0.0213,3
A04,W0076,4,0.0212,1
A05,W0076,4,0.0212,2
A06,W0076,4,0.0212,3
A07,W0420,4,0.0015,1
A08,W0420,4,0.0015,2
A09,W0420,4,0.0015,3
A10,W0077,4,0.0161,1
A11,W0077,4,0.0161,2
A12,W0077,4,0.0161,3
B01,W0421,4,0.022,1
B02,W0421,4,0.022,2
B03,W0421,4,0.022,3
B04,W0078,4,0.0106,1
B05,W0078,4,0.0106,2
B06,W0078,4,0.0106,3
B07,WO422,4,0.01,1
B08,WO422,4,0.01,2
B09,WO422,4,0.01,3
B10,W0079,4,0.0241,1
B11,W0079,4,0.0241,2
B12,W0079,4,0.0241,3
C01,W0423,4,0.0168,1
C02,W0423,4,0.0168,2
C03,W0423,4,0.0168,3
C04,W0424,4,0.0367,1
C05,W0424,4,0.0367,2
C06,W0424,4,0.0367,3
C07,W0081,4,0.023,1
C08,W0081,4,0.023,2
C09,W0081,4,0.023,3
C10,W0080,4,0.0301,1
C11,W0080,4,0.0301,2
C12,W0080,4,0.0301,3
D01,W0425,4,0.0125,1
D02,W0425,4,0.0125,2
D03,W0425,4,0.0125,3
D04,W0082,4,0.0478,1
D05,W0082,4,0.0478,2
D06,W0082,4,0.0478,3
D07,W0426,4,0.0306,1
D08,W0426,4,0.0306,2
D09,W0426,4,0.0306,3
D10,W0083,4,0.0294,1
D11,W0083,4,0.0294,2
D12,W0083,4,0.0294,3
E01,WO427,4,0.018,1
E02,WO427,4,0.018,2
E03,WO427,4,0.018,3
E04,W0084,4,0.0231,1
E05,W0084,4,0.0231,2
E06,W0084,4,0.0231,3
E07,W0085,4,0.0303,1
E08,W0085,4,0.0303,2
E09,W0085,4,0.0303,3
E10,WO475,4,0.0144,1
E11,WO475,4,0.0144,2
E12,WO475,4,0.0144,3
F01,WO476,4,0.0632,1
F02,WO476,4,0.0632,2
F03,WO476,4,0.0632,3
F04,W0113,4,0.0651,1
F05,W0113,4,0.0651,2
F06,W0113,4,0.0651,3
F07,W0477,4,0.0256,1
F08,W0477,4,0.0256,2
F09,W0477,4,0.0256,3
F10,W0114,4,0.025,1
F11,W0114,4,0.025,2
F12,W0114,4,0.025,3
G01,W0478,4,0.0324,1
G02,W0478,4,0.0324,2
G03,W0478,4,0.0324,3
G04,W0115,4,0.0221,1
G05,W0115,4,0.0221,2
G06,W0115,4,0.0221,3
G07,WO479,4,0.0328,1
G08,WO479,4,0.0328,2
G09,WO479,4,0.0328,3
G10,W0480,4,0.016,1
G11,W0480,4,0.016,2
G12,W0480,4,0.016,3
H01,W0116,4,0.026,1
H02,W0116,4,0.026,2
H03,W0116,4,0.026,3
H04,W0117,4,0.0307,1
H05,W0117,4,0.0307,2
H06,W0117,4,0.0307,3
H07,W0118,4,0.0365,1
H08,W0118,4,0.0365,2
H09,W0118,4,0.0365,3
H10,W0119,4,0.037,1
H11,W0119,4,0.037,2
H12,W0119,4,0.037,3
