Well,Sample,Time,Weight,Replicate
A01,W0148,4,0.0201,1
A02,W0148,4,0.0201,2
A03,W0148,4,0.0201,3
A04,W0149,4,0.0215,1
A05,W0149,4,0.0215,2
A06,W0149,4,0.0215,3
A07,W0607,4,0.0307,1
A08,W0607,4,0.0307,2
A09,W0607,4,0.0307,3
A10,W0608,4,0.0213,1
A11,W0608,4,0.0213,2
A12,W0608,4,0.0213,3
B01,W0152,4,0.0179,1
B02,W0152,4,0.0179,2
B03,W0152,4,0.0179,3
B04,W0153,4,0.01,1
B05,W0153,4,0.01,2
B06,W0153,4,0.01,3
B07,W0609,4,0.0336,1
B08,W0609,4,0.0336,2
B09,W0609,4,0.0336,3
B10,W0154,4,0.0043,1
B11,W0154,4,0.0043,2
B12,W0154,4,0.0043,3
C01,W0610,4,0.0105,1
C02,W0610,4,0.0105,2
C03,W0610,4,0.0105,3
C04,W0155,4,0.0298,1
C05,W0155,4,0.0298,2
C06,W0155,4,0.0298,3
C07,W0156,4,0.0248,1
C08,W0156,4,0.0248,2
C09,W0156,4,0.0248,3
C10,W0611,4,0.012,1
C11,W0611,4,0.012,2
C12,W0611,4,0.012,3
D01,W0157,4,0.0314,1
D02,W0157,4,0.0314,2
D03,W0157,4,0.0314,3
D04,W0613,4,0.0305,1
D05,W0613,4,0.0305,2
D06,W0613,4,0.0305,3
D07,W0158,4,0.0231,1
D08,W0158,4,0.0231,2
D09,W0158,4,0.0231,3
D10,W0160,4,0.0073,1
D11,W0160,4,0.0073,2
D12,W0160,4,0.0073,3
E01,W0747,4,0.0084,1
E02,W0747,4,0.0084,2
E03,W0747,4,0.0084,3
E04,W0161,4,0.0422,1
E05,W0161,4,0.0422,2
E06,W0161,4,0.0422,3
E07,W0162,4,0.0155,1
E08,W0162,4,0.0155,2
E09,W0162,4,0.0155,3
E10,W0748,4,0.0058,1
E11,W0748,4,0.0058,2
E12,W0748,4,0.0058,3
F01,W0163,4,0.0239,1
F02,W0163,4,0.0239,2
F03,W0163,4,0.0239,3
F04,W0749,4,0.0214,1
F05,W0749,4,0.0214,2
F06,W0749,4,0.0214,3
F07,W0165,4,0.0515,1
F08,W0165,4,0.0515,2
F09,W0165,4,0.0515,3
F10,W0166,4,0.0234,1
F11,W0166,4,0.0234,2
F12,W0166,4,0.0234,3
G01,W0750,4,0.0424,1
G02,W0750,4,0.0424,2
G03,W0750,4,0.0424,3
G04,W0751,4,0.0267,1
G05,W0751,4,0.0267,2
G06,W0751,4,0.0267,3
G07,W0167,4,0.0366,1
G08,W0167,4,0.0366,2
G09,W0167,4,0.0366,3
G10,W0752,4,0.0232,1
G11,W0752,4,0.0232,2
G12,W0752,4,0.0232,3
H01,W0168,4,0.0168,1
H02,W0168,4,0.0168,2
H03,W0168,4,0.0168,3
H04,W0753,4,0.0443,1
H05,W0753,4,0.0443,2
H06,W0753,4,0.0443,3
H07,W0606,4,0.0344,1
H08,W0606,4,0.0344,2
H09,W0606,4,0.0344,3
H10,,,,
H11,,,,
H12,,,,
