,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3042,0.2781,0.2796,0.3237,0.3281,0.3121,0.257,0.2619,0.2535,0.3065,0.3026,0.3002
B,0.3175,0.3248,0.3129,0.3018,0.3181,0.3095,0.226,0.3668,0.2206,0.2144,0.3557,0.3786
C,0.3327,0.302,0.2939,0.3149,0.3148,0.3084,0.1949,0.2066,0.2112,0.2113,0.215,0.2306
D,0.1753,0.1724,0.1668,0.1608,0.1537,0.1534,0.2394,0.2666,0.2605,0.2993,0.3259,0.3365
E,0.2283,0.2262,0.206,0.2474,0.2532,0.2442,0.2344,0.2446,0.2493,0.2478,0.2654,0.2836
F,0.2225,0.2094,0.2042,0.2318,0.234,0.2374,0.2574,0.2616,0.2637,0.4191,0.4346,0.4593
G,0.3086,0.3065,0.2845,0.2564,0.2472,0.2368,0.2524,0.2517,0.2469,0.2515,0.2543,0.2609
H,0.2479,0.2327,0.2119,0.2036,0.1944,0.1947,,,,,,
