Sample,Time,Protein,Site
W0422,4,148830.43,MUS
W0422,4,148159.9,MUS
W0079,4,62908.0249,LDS
W0079,4,69466.26141,LDS
W0079,4,63504.22822,LDS
W0423,4,85282.50595,HIG
W0423,4,84199.16667,HIG
W0423,4,86479.88095,HIG
W0424,4,39143.80654,LDS
W0424,4,39326.51226,LDS
W0424,4,39874.62943,LDS
W0081,4,63959.22174,Leb
W0081,4,63709.33478,Leb
W0081,4,64500.64348,Leb
W0080,4,50018.15615,NAR
W0080,4,50622.81063,NAR
W0080,4,51322.93688,NAR
W0425,4,113316.944,NAR
W0425,4,112703.888,NAR
W0425,4,114619.688,NAR
W0082,4,29633.09205,SAN
W0082,4,29813.44979,SAN
W0082,4,30154.12552,SAN
W0426,4,46884.37582,DEB
W0426,4,46133.0817,DEB
W0426,4,47072.19935,DEB
W0083,4,49189.0034,MUS
W0083,4,50427.10544,MUS
W0083,4,51306.80952,MUS
W0427,4,77574.77222,Fra
W0427,4,80022.73889,Fra
W0427,4,78160.15556,Fra
W0084,4,61443.09524,CDC
W0084,4,62106.57576,CDC
W0084,4,62562.71861,CDC
W0085,4,48613.13201,HIG
W0085,4,48107.31023,HIG
W0085,4,47569.87459,HIG
W0475,4,115727.3403,Fra2
W0475,4,105150.5278,Fra2
W0475,4,105416.6111,Fra2
W0476,4,22594.25,DEB
W0476,4,22958.00949,DEB
W0476,4,22639.71994,DEB
W0113,4,21920.10292,SAN
W0113,4,22273.24578,SAN
W0113,4,22420.38863,SAN
W0477,4,56378.24219,NAR
W0477,4,57313.69141,NAR
W0477,4,55854.39063,NAR
W0114,4,61409.656,Fra_cor
W0114,4,60911.548,Fra_cor
W0114,4,61869.448,Fra_cor
W0478,4,44043.16975,SAN
W0478,4,43924.91049,SAN
W0478,4,43777.08642,SAN
W0115,4,64440.04525,MUS
W0115,4,63529.82353,MUS
W0115,4,65480.29864,MUS
W0479,4,44031.73476,CDC
W0479,4,44031.73476,CDC
W0479,4,44820.25,CDC
W0480,4,91342.69375,HIG
W0480,4,97569.04375,HIG
W0480,4,95174.29375,HIG
W0116,4,54479.3,NAR
W0116,4,54331.93077,NAR
W0116,4,55142.46154,NAR
W0117,4,47511.70684,HIG
W0117,4,47948.5342,HIG
W0117,4,51630.36482,HIG
W0118,4,40513.02192,CDC
W0118,4,39988.14521,CDC
W0118,4,39751.95068,CDC
W0119,4,39758.43514,Bol
W0119,4,42010.79459,Bol
W0119,4,41260.00811,Bol
