Well,Sample,Time,Weight,Replicate
A01,W0419,0,0.0461,1
A02,W0419,0,0.0461,2
A03,W0419,0,0.0461,3
A04,W0076,0,0.0311,1
A05,W0076,0,0.0311,2
A06,W0076,0,0.0311,3
A07,W0420,0,0.0433,1
A08,W0420,0,0.0433,2
A09,W0420,0,0.0433,3
A10,W0077,0,0.0387,1
A11,W0077,0,0.0387,2
A12,W0077,0,0.0387,3
B01,W0421,0,0.035,1
B02,W0421,0,0.035,2
B03,W0421,0,0.035,3
B04,W0078,0,0.0144,1
B05,W0078,0,0.0144,2
B06,W0078,0,0.0144,3
B07,WO422,0,0.0278,1
B08,WO422,0,0.0278,2
B09,WO422,0,0.0278,3
B10,W0079,0,0.0417,1
B11,W0079,0,0.0417,2
B12,W0079,0,0.0417,3
C01,W0423,0,0.055,1
C02,W0423,0,0.055,2
C03,W0423,0,0.055,3
C04,W0424,0,0.0213,1
C05,W0424,0,0.0213,2
C06,W0424,0,0.0213,3
C07,W0081,0,0.0118,1
C08,W0081,0,0.0118,2
C09,W0081,0,0.0118,3
C10,W0080,0,0.0169,1
C11,W0080,0,0.0169,2
C12,W0080,0,0.0169,3
D01,W0425,0,0.0337,1
D02,W0425,0,0.0337,2
D03,W0425,0,0.0337,3
D04,W0082,0,0.0057,1
D05,W0082,0,0.0057,2
D06,W0082,0,0.0057,3
D07,W0426,0,0.0278,1
D08,W0426,0,0.0278,2
D09,W0426,0,0.0278,3
D10,W0083,0,0.0257,1
D11,W0083,0,0.0257,2
D12,W0083,0,0.0257,3
E01,WO427,0,0.0098,1
E02,WO427,0,0.0098,2
E03,WO427,0,0.0098,3
E04,W0084,0,0.0291,1
E05,W0084,0,0.0291,2
E06,W0084,0,0.0291,3
E07,W0085,0,0.0309,1
E08,W0085,0,0.0309,2
E09,W0085,0,0.0309,3
E10,WO475,0,0.0289,1
E11,WO475,0,0.0289,2
E12,WO475,0,0.0289,3
F01,WO476,0,0.0334,1
F02,WO476,0,0.0334,2
F03,WO476,0,0.0334,3
F04,W0113,0,0.025,1
F05,W0113,0,0.025,2
F06,W0113,0,0.025,3
F07,W0477,0,0.0342,1
F08,W0477,0,0.0342,2
F09,W0477,0,0.0342,3
F10,W0114,0,0.0226,1
F11,W0114,0,0.0226,2
F12,W0114,0,0.0226,3
G01,W0478,0,0.0621,1
G02,W0478,0,0.0621,2
G03,W0478,0,0.0621,3
G04,W0115,0,0.0433,1
G05,W0115,0,0.0433,2
G06,W0115,0,0.0433,3
G07,WO479,0,0.0405,1
G08,WO479,0,0.0405,2
G09,WO479,0,0.0405,3
G10,W0480,0,0.0497,1
G11,W0480,0,0.0497,2
G12,W0480,0,0.0497,3
H01,W0116,0,0.031,1
H02,W0116,0,0.031,2
H03,W0116,0,0.031,3
H04,W0117,0,0.0368,1
H05,W0117,0,0.0368,2
H06,W0117,0,0.0368,3
H07,W0118,0,0.0247,1
H08,W0118,0,0.0247,2
H09,W0118,0,0.0247,3
H10,W0119,0,0.0047,1
H11,W0119,0,0.0047,2
H12,W0119,0,0.0047,3
