"Well","Sample","Time","Weight","Replicate","Hour","PCheck","Plate","fileName","Absorbance","Protein","Range","Genotype","Site"
"D04","W0082",0,0.0147,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1373,85345.3537414966,"Native","SAN28-02","SAN"
"D05","W0082",0,0.0147,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1337,82999.4761904762,"Native","SAN28-02","SAN"
"D06","W0082",0,0.0147,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1364,84758.8843537415,"Native","SAN28-02","SAN"
"D07","W0426",0,0.0241,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1352,51222.4398340249,"Native","DEB32","DEB"
"D08","W0426",0,0.0241,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.136,51540.4149377593,"Native","DEB32","DEB"
"D09","W0426",0,0.0241,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1256,47406.7385892116,"Native","DEB32","DEB"
"D10","W0083",0,0.0523,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1912,33860.1300191205,"Native","MUSs2-04","MUS"
"D11","W0083",0,0.0523,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1943,34427.9101338432,"Native","MUSs2-04","MUS"
"D12","W0083",0,0.0523,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1975,35014.0057361377,"Native","MUSs2-04","MUS"
"E01","W0427",0,0.0249,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1736,64349.1726907631,"Native","W65323","Fra"
"E02","W0427",0,0.0249,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1699,62925.7871485944,"Native","W65323","Fra"
"E03","W0427",0,0.0249,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1655,61233.1124497992,"Native","W65323","Fra"
"E04","W0084",0,0.0232,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1533,60682.7887931035,"Native","CDCc2-06-01","CDC"
"E05","W0084",0,0.0232,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1537,60847.9439655173,"Native","CDCc2-06-01","CDC"
"E06","W0084",0,0.0232,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1513,59857.0129310345,"Native","CDCc2-06-01","CDC"
"E07","W0085",0,0.0428,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.143,30588.2476635514,"Native","HIG12-03","HIG"
"E08","W0085",0,0.0428,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1442,30856.8177570094,"Native","HIG12-03","HIG"
"E09","W0085",0,0.0428,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1411,30163.011682243,"Native","HIG12-03","HIG"
"E10","W0475",0,0.0176,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1546,80698.4886363636,"Native","W65326","Fra2"
"E11","W0475",0,0.0176,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1555,81188.3238636364,"Native","W65326","Fra2"
"E12","W0475",0,0.0176,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1572,82113.5681818182,"Native","W65326","Fra2"
"F01","W0476",0,0.0163,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1547,87193.3312883436,"Native","DEB32-02","DEB"
"F02","W0476",0,0.0163,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1493,84019.9202453988,"Native","DEB32-02","DEB"
"F03","W0476",0,0.0163,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1479,83197.1840490798,"Native","DEB32-02","DEB"
"F04","W0113",0,0.0175,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1593,83732.2685714286,"Native","SAN31-02","SAN"
"F05","W0113",0,0.0175,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1567,82309.1028571429,"Native","SAN31-02","SAN"
"F06","W0113",0,0.0175,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1571,82528.0514285714,"Native","SAN31-02","SAN"
