Well,Sample,Time,Weight,Replicate
A01,W0606,0,0.0407,1
A02,W0606,0,0.0407,2
A03,W0606,0,0.0407,3
A04,W0148,0,0.0066,1
A05,W0148,0,0.0066,2
A06,W0148,0,0.0066,3
A07,W0149,0,0.0111,1
A08,W0149,0,0.0111,2
A09,W0149,0,0.0111,3
A10,W0607,0,0.0178,1
A11,W0607,0,0.0178,2
A12,W0607,0,0.0178,3
B01,W0608,0,0.0266,1
B02,W0608,0,0.0266,2
B03,W0608,0,0.0266,3
B04,W0152,0,0.0095,1
B05,W0152,0,0.0095,2
B06,W0152,0,0.0095,3
B07,W0153,0,0.0149,1
B08,W0153,0,0.0149,2
B09,W0153,0,0.0149,3
B10,W0609,0,0.016,1
B11,W0609,0,0.016,2
B12,W0609,0,0.016,3
C01,W0154,0,8.00E-04,1
C02,W0154,0,8.00E-04,2
C03,W0154,0,8.00E-04,3
C04,W0610,0,0.0166,1
C05,W0610,0,0.0166,2
C06,W0610,0,0.0166,3
C07,W0155,0,0.0181,1
C08,W0155,0,0.0181,2
C09,W0155,0,0.0181,3
C10,W0156,0,0.0086,1
C11,W0156,0,0.0086,2
C12,W0156,0,0.0086,3
D01,W0611,0,0.0087,1
D02,W0611,0,0.0087,2
D03,W0611,0,0.0087,3
D04,W0157,0,0.008,1
D05,W0157,0,0.008,2
D06,W0157,0,0.008,3
D07,W0613,0,0.0236,1
D08,W0613,0,0.0236,2
D09,W0613,0,0.0236,3
D10,W0158,0,0.0566,1
D11,W0158,0,0.0566,2
D12,W0158,0,0.0566,3
E01,W0160,0,0.0211,1
E02,W0160,0,0.0211,2
E03,W0160,0,0.0211,3
E04,W0747,0,0.024,1
E05,W0747,0,0.024,2
E06,W0747,0,0.024,3
E07,W0161,0,0.0306,1
E08,W0161,0,0.0306,2
E09,W0161,0,0.0306,3
E10,W0162,0,0.0221,1
E11,W0162,0,0.0221,2
E12,W0162,0,0.0221,3
F01,W0748,0,0.0252,1
F02,W0748,0,0.0252,2
F03,W0748,0,0.0252,3
F04,W0163,0,0.0333,1
F05,W0163,0,0.0333,2
F06,W0163,0,0.0333,3
F07,W0749,0,0.0241,1
F08,W0749,0,0.0241,2
F09,W0749,0,0.0241,3
F10,W0165,0,0.0284,1
F11,W0165,0,0.0284,2
F12,W0165,0,0.0284,3
G01,W0750,0,0.0296,1
G02,W0750,0,0.0296,2
G03,W0750,0,0.0296,3
G04,W0166,0,0.0126,1
G05,W0166,0,0.0126,2
G06,W0166,0,0.0126,3
G07,W0751,0,0.0301,1
G08,W0751,0,0.0301,2
G09,W0751,0,0.0301,3
G10,W0167,0,0.013,1
G11,W0167,0,0.013,2
G12,W0167,0,0.013,3
H01,W0752,0,0.011,1
H02,W0752,0,0.011,2
H03,W0752,0,0.011,3
H04,W0168,0,0.0299,1
H05,W0168,0,0.0299,2
H06,W0168,0,0.0299,3
H07,W0753,0,0.0214,1
H08,W0753,0,0.0214,2
H09,W0753,0,0.0214,3
H10,,,,
H11,,,,
H12,,,,
