"Sample","Site","Replicate","Genotype","Range","0hr","4hr","24hr"
"W0134","NAR",3,"NARc2-01","Native",10.7353219829787,10.211103614244,11.9315023652685
"W0135","HUE",1,"HUE19","Native",11.3389714158175,10.5163739682748,10.6926195918443
"W0135","HUE",2,"HUE19","Native",11.3038312973717,10.5840517984755,10.6914267836946
"W0135","HUE",3,"HUE19","Native",11.2475524414734,10.5936290964422,10.6836386558079
"W0137","FUS",1,"FUSF5","Native",11.096407009676,10.3174630592528,11.278738305125
"W0137","FUS",2,"FUSF5","Native",11.128129914442,10.3440150553476,11.2763018285623
"W0137","FUS",3,"FUSF5","Native",11.1615852724785,10.3339293301225,11.262175701322
"W0138","LDS",1,"LDSc3-04","Native",11.6435025589488,10.9386172793232,11.4929280149533
"W0138","LDS",2,"LDSc3-04","Native",11.603139167953,10.939823031579,11.4947360986026
"W0138","LDS",3,"LDSc3-04","Native",11.692553364625,10.9148097664729,11.4832292983576
"W0140","HIG",1,"HIG10-02","Native",10.6291513034277,10.1577824834806,10.6763414243994
"W0140","HIG",2,"HIG10-02","Native",10.657716084478,10.1230200815499,10.6673118312767
"W0140","HIG",3,"HIG10-02","Native",10.6818558788693,10.1343663320851,10.6715357898001
"W0142","CAM",1,"CAM20","Native",15.3297786307459,10.9062246344689,11.1454848806352
"W0142","CAM",2,"CAM20","Native",15.3578272035092,10.9043989454312,11.2465991744831
"W0142","CAM",3,"CAM20","Native",15.4181999754435,10.9001259974419,11.2478005809566
"W0144","AZN",1,"AZN19","Native",13.2065518200615,10.9326995242226,10.9025568967274
"W0144","AZN",2,"AZN19","Native",13.1134252230497,10.9723309057363,10.8995632690915
"W0144","AZN",3,"AZN19","Native",13.0980978613103,11.0083997500402,10.8953570775335
"W0145","SAN",1,"SAN20-03","Native",11.9939660560065,11.1613815702263,11.0808051560434
"W0145","SAN",2,"SAN20-03","Native",11.9611635591763,11.1948508012341,11.1036191617591
"W0145","SAN",3,"SAN20-03","Native",11.9562566511791,11.2266768090859,11.1183494353696
"W0146","ARC",1,"ARC25-01","Invasive",11.914840841563,11.1909245699353,10.9076820100218
"W0146","ARC",2,"ARC25-01","Invasive",11.9012569784236,11.2408754615192,10.9058462665596
"W0146","ARC",3,"ARC25-01","Invasive",11.8500485426056,11.2476632346631,10.9162045342676
"W0149","CRG",1,"CRG20","Native",11.4039867097088,11.3194777012962,11.9386301891948
"W0149","CRG",2,"CRG20","Native",11.4177553609148,11.2678917368062,11.93580726741
"W0149","CRG",3,"CRG20","Native",11.3667517974614,11.3107900953519,12.0337499065327
"W0152","DEB",1,"DEB27","Native",11.4736857193878,11.8845416882916,12.3172335695467
"W0152","DEB",2,"DEB27","Native",11.4968744959213,11.6760260942479,12.4960365598495
"W0152","DEB",3,"DEB27","Native",11.4587925229126,11.6618331184101,12.2870075544584
"W0153","DCR",1,"DCR19","Invasive",11.6613179826418,12.0951649951516,11.8420396812033
"W0153","DCR",2,"DCR19","Invasive",11.7150161313418,12.0751666606476,11.8397240249517
"W0153","DCR",3,"DCR19","Invasive",11.6870442424363,12.0908747904132,11.8086439175424
"W0154","LIS",1,"LIS18","Native",11.2056768761219,12.9576912695986,14.7651556951902
"W0154","LIS",2,"LIS18","Native",11.7239307891708,12.9973419049346,14.7553800628275
"W0154","LIS",3,"LIS18","Native",11.7552078531244,13.0679922055235,14.8279928084223
"W0155","MLR",1,"MLR20","Invasive",11.3297496053235,11.182998872939,11.6640052469852
"W0155","MLR",2,"MLR20","Invasive",11.3294254788611,11.1005582531514,11.6585300700493
"W0155","MLR",3,"MLR20","Invasive",11.3084597716265,11.0389838909077,11.6001252451275
"W0156","BHI",1,"BHI33-19","Invasive",10.769219955238,11.3733474875125,12.4465402876541
"W0156","BHI",2,"BHI33-19","Invasive",10.8294166333348,11.3680039667896,12.3330565308088
"W0156","BHI",3,"BHI33-19","Invasive",10.8521256325171,11.3467958501985,12.469054831737
"W0157","MUS",1,"MUSs1-15","Native",11.5182397043535,11.0651086299288,12.4513906170578
"W0157","MUS",2,"MUSs1-15","Native",11.500928068865,11.2944660691004,12.4058675769411
"W0157","MUS",3,"MUSs1-15","Native",11.4666260224168,10.966341691254,12.3955186588393
"W0158","SAN",1,"SAN28-01","Native",11.2075263564881,11.1881107120189,10.4289945224901
"W0158","SAN",2,"SAN28-01","Native",11.3179063672014,11.2611230883762,10.3713272919475
"W0158","SAN",3,"SAN28-01","Native",11.2941902929576,11.2191828712705,10.3493568152416
"W0161","LDS",1,"LDSc3-10","Native",10.9486542885099,10.7064434569404,11.0755220896127
"W0161","LDS",2,"LDSc3-10","Native",10.9724286697012,10.6957083414021,11.0589016070918
"W0161","LDS",3,"LDSc3-10","Native",10.9352913345757,10.5361220940093,11.0298954511004
"W0162","DEB",1,"DEB28-04","Native",10.757535666256,11.5473020826842,11.2914122581719
"W0162","DEB",2,"DEB28-04","Native",10.8012872560281,11.6226156846174,11.2951915200652
"W0162","DEB",3,"DEB28-04","Native",10.8208206227868,11.6192873697705,11.3128181502127
