"Sample","Time","Weight","Hour","meanSubAbs","seSubAbs","meanAbs","seAbs","PIse","PI_g","PIse2","PIse1","PI","Range","Genotype","Site"
"W0076",0,0.0185,"0hr",0.222633333333333,0.0555363644630955,0.1891,0.0446578473880385,68.743947455005,-958.547124596834,0.0717168156796869,0.00404422957605232,-17.7331218050414,"Invasive","ARC29","ARC"
"W0076",4,0.0185,"4hr",0.1811,0.00105039675043926,0.235233333333333,0.015738311359369,14.8001047067923,1243.92495088258,0.0118979080661509,0.000517016854820364,23.0126115913277,"Invasive","ARC29","ARC"
"W0076",24,0.0185,"24hr",0.0554,0.000781024967590666,0.0392666666666667,0.00335675107474144,111.541403078113,-2220.89661818015,0.0502235908529198,0.00122238409142024,-41.0865874363328,"Invasive","ARC29","ARC"
"W0077",0,0.0173,"0hr",0.178666666666667,0.0205282190600592,0.1891,0.0446578473880385,4.36624295732408,318.922713716429,0.0136905989117048,0.00248136637783071,5.51736294729421,"Native","DEB30","DEB"
"W0077",4,0.0173,"4hr",0.195233333333333,0.00471442231644321,0.235233333333333,0.015738311359369,9.86690231918487,982.912878697902,0.0100384301935853,0.000590343348967762,17.0043928014737,"Native","DEB30","DEB"
"W0077",24,0.0173,"24hr",0.0649,0.0061430177166167,0.0392666666666667,0.00335675107474144,519.269171030188,-3773.41825568957,0.137612407595483,0.00210802881856279,-65.2801358234295,"Native","DEB30","DEB"
"W0078",0,0.0182,"0hr",0.156866666666667,0.0178269770603743,0.1891,0.0446578473880385,34.7081024269619,936.574442655881,0.0370585624016589,0.00217407677874468,17.045654856337,"Native","PI404795","Uru"
"W0078",4,0.0182,"4hr",0.1777,0.00260064094663861,0.235233333333333,0.015738311359369,17.0046235519114,1343.84532854137,0.0126537058921568,0.000517365020167734,24.457984979453,"Native","PI404795","Uru"
"W0078",24,0.0182,"24hr",0.0594666666666667,0.00281503897742899,0.0392666666666667,0.00335675107474144,215.182140178584,-2826.545271367,0.0761290266101116,0.00147986787700844,-51.4431239388795,"Native","PI404795","Uru"
"W0079",0,0.0295,"0hr",0.1513,0.00428291178210961,0.1891,0.0446578473880385,25.7768528282275,677.607579166257,0.0380409747776787,0.00190305511387805,19.9894235854046,"Native","LDSc3-11","LDS"
"W0079",4,0.0295,"4hr",0.193366666666667,0.0221863571693157,0.235233333333333,0.015738311359369,11.7235861149166,603.319699396921,0.0194317973151474,0.00109180090488053,17.7979311322092,"Native","LDSc3-11","LDS"
"W0079",24,0.0295,"24hr",0.0468666666666667,0.00669759492487996,0.0392666666666667,0.00335675107474144,25.239174339567,-656.096227446692,0.0384687082225567,0.0019875499248321,-19.3548387096774,"Native","LDSc3-11","LDS"
