Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.269,0.2337,0.2416,0.3086,0.2514,0.2078,0.2679,0.2686,0.2699,0.2235,0.318,0.4899
B,0.2596,0.2161,0.2078,0.1978,0.1968,0.194,0.274,0.2698,0.1942,0.2693,0.2681,0.2547
C,0.3095,0.2797,0.189,0.3438,0.3418,0.2345,0.1921,0.1993,0.1834,0.395,0.4032,0.2195
D,0.1868,0.1867,0.1865,0.3417,0.1885,0.1975,0.2588,0.2669,0.1808,0.2536,0.185,0.2477
E,0.1903,0.1859,0.2728,0.2429,0.1909,0.1895,0.4021,0.1908,0.189,0.2738,0.2511,0.1813
F,0.1873,0.2466,0.1926,0.1915,0.3233,0.2607,0.238,0.2845,0.2633,0.2565,0.2458,0.2134
G,0.2112,0.2599,0.2364,0.2271,0.2262,0.1834,0.1909,0.1923,0.2128,0.2264,0.2386,0.2374
H,0.2458,0.2173,0.2145,0.2096,0.2147,0.2635,0.1882,0.1849,0.3199,0.0631,0.075,0.0661
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0467,0.0462,0.049,0.0467,0.0474,0.0783,0.0452,0.0466,0.0468,0.047,0.0459,0.0467
B,0.0453,0.0465,0.0565,0.0589,0.0638,0.1063,0.0475,0.0463,0.0498,0.0476,0.0485,0.0495
C,0.0505,0.0461,0.0558,0.0461,0.051,0.0474,0.0505,0.0612,0.0757,0.0487,0.0493,0.0644
D,0.0463,0.0457,0.0463,0.0455,0.0452,0.0459,0.0537,0.0561,0.06,0.0501,0.0469,0.0466
E,0.0476,0.0612,0.0516,0.0463,0.0458,0.051,0.0478,0.0469,0.0507,0.0466,0.0479,0.0515
F,0.048,0.0487,0.0574,0.0464,0.0471,0.0486,0.0461,0.0463,0.0463,0.0466,0.055,0.0475
G,0.0551,0.0538,0.0618,0.0458,0.0456,0.0493,0.062,0.0457,0.0462,0.0459,0.0517,0.0455
H,0.0456,0.0463,0.046,0.0504,0.0462,0.0468,0.0423,0.0419,0.0415,0.042,0.0471,0.0422
