Well,Sample,Time,Weight,Replicate
A01,W0606,4,0.0555,1
A02,W0606,4,0.0555,2
A03,W0606,4,0.0555,3
A04,W0148,4,0.0292,1
A05,W0148,4,0.0292,2
A06,W0148,4,0.0292,3
A07,W0149,4,0.0339,1
A08,W0149,4,0.0339,2
A09,W0149,4,0.0339,3
A10,W0607,4,0.0175,1
A11,W0607,4,0.0175,2
A12,W0607,4,0.0175,3
B01,W0608,4,0.0149,1
B02,W0608,4,0.0149,2
B03,W0608,4,0.0149,3
B04,W0152,4,0.031,1
B05,W0152,4,0.031,2
B06,W0152,4,0.031,3
B07,W0153,4,0.0244,1
B08,W0153,4,0.0244,2
B09,W0153,4,0.0244,3
B10,W0609,4,0.0353,1
B11,W0609,4,0.0353,2
B12,W0609,4,0.0353,3
C01,W0154,4,0.0271,1
C02,W0154,4,0.0271,2
C03,W0154,4,0.0271,3
C04,W0610,4,0.0118,1
C05,W0610,4,0.0118,2
C06,W0610,4,0.0118,3
C07,W0155,4,0.0355,1
C08,W0155,4,0.0355,2
C09,W0155,4,0.0355,3
C10,W0156,4,0.038,1
C11,W0156,4,0.038,2
C12,W0156,4,0.038,3
D01,W0611,4,0.0088,1
D02,W0611,4,0.0088,2
D03,W0611,4,0.0088,3
D04,W0157,4,0.0161,1
D05,W0157,4,0.0161,2
D06,W0157,4,0.0161,3
D07,W0613,4,0.0076,1
D08,W0613,4,0.0076,2
D09,W0613,4,0.0076,3
D10,W0158,4,0.0303,1
D11,W0158,4,0.0303,2
D12,W0158,4,0.0303,3
E01,W0160,4,0.0173,1
E02,W0160,4,0.0173,2
E03,W0160,4,0.0173,3
E04,W0747,4,0.0073,1
E05,W0747,4,0.0073,2
E06,W0747,4,0.0073,3
E07,W0161,4,0.0406,1
E08,W0161,4,0.0406,2
E09,W0161,4,0.0406,3
E10,W0162,4,0.0465,1
E11,W0162,4,0.0465,2
E12,W0162,4,0.0465,3
F01,W0748,4,0.0168,1
F02,W0748,4,0.0168,2
F03,W0748,4,0.0168,3
F04,W0163,4,0.0228,1
F05,W0163,4,0.0228,2
F06,W0163,4,0.0228,3
F07,W0749,4,0.0354,1
F08,W0749,4,0.0354,2
F09,W0749,4,0.0354,3
F10,W0165,4,0.0382,1
F11,W0165,4,0.0382,2
F12,W0165,4,0.0382,3
G01,W0750,4,0.0264,1
G02,W0750,4,0.0264,2
G03,W0750,4,0.0264,3
G04,W0166,4,0.0377,1
G05,W0166,4,0.0377,2
G06,W0166,4,0.0377,3
G07,W0751,4,0.0195,1
G08,W0751,4,0.0195,2
G09,W0751,4,0.0195,3
G10,W0167,4,0.0282,1
G11,W0167,4,0.0282,2
G12,W0167,4,0.0282,3
H01,W0752,4,0.0119,1
H02,W0752,4,0.0119,2
H03,W0752,4,0.0119,3
H04,W0168,4,0.0253,1
H05,W0168,4,0.0253,2
H06,W0168,4,0.0253,3
H07,W0753,4,0.0202,1
H08,W0753,4,0.0202,2
H09,W0753,4,0.0202,3
H10,Control,4,,1
H11,Control,4,,2
H12,Control,4,,3
