Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1822,0.2221,0.1831,0.1888,0.1919,0.2301,0.1922,0.2372,0.2171,0.1811,0.1751,0.2726
B,0.2238,0.2154,0.1746,0.1763,0.2408,0.1647,0.2106,0.2277,0.1838,0.2196,0.2246,0.2303
C,0.2316,0.2249,0.2259,0.1921,0.2203,0.2359,0.2103,0.2247,0.2257,0.2133,0.1738,0.3828
D,0.2274,0.1729,0.254,0.2443,0.234,0.1864,0.2056,0.2219,0.215,0.243,0.2495,0.2103
E,0.1872,0.2083,0.2037,0.1912,0.1854,0.2023,0.2392,0.2119,0.1946,0.2159,0.2201,0.2198
F,0.1804,0.1799,0.1776,0.1854,0.1834,0.2579,0.1998,0.2056,0.2142,0.2143,0.2096,0.2272
G,0.1869,0.1785,0.1749,0.2748,0.2256,0.1806,0.1849,0.1835,0.1801,0.1825,0.2229,0.1985
H,0.2516,0.3033,0.2674,0.257,0.2559,0.1974,0.2499,0.3067,0.2602,0.2493,0.2615,0.1985
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0496,0.053,0.0463,0.0534,0.0606,0.0622,0.0518,0.0535,0.0529,0.0482,0.0465,0.0486
B,0.055,0.0535,0.0531,0.0549,0.0542,0.058,0.0526,0.0576,0.0472,0.0524,0.0516,0.0525
C,0.051,0.0499,0.0492,0.0452,0.0467,0.0464,0.0524,0.0527,0.0556,0.0461,0.0459,0.0473
D,0.0506,0.0597,0.0553,0.0478,0.0468,0.046,0.1021,0.0551,0.0505,0.0491,0.0462,0.0655
E,0.0484,0.0477,0.0541,0.0723,0.0559,0.0479,0.0468,0.047,0.0465,0.0509,0.0499,0.0566
F,0.0564,0.0477,0.0472,0.0556,0.0576,0.0502,0.0468,0.0469,0.0511,0.0526,0.0516,0.0496
G,0.0494,0.0549,0.0542,0.0535,0.0529,0.0577,0.0511,0.0499,0.0498,0.0476,0.1924,0.0483
H,0.0551,0.0474,0.0582,0.0538,0.057,0.0563,0.0499,0.0479,0.0478,0.0514,0.0479,0.0467
