Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.2663,0.2837,0.2633,0.2793,0.2676,0.2719,0.2763,0.288,0.2685,0.2788,0.2781,0.2751
B,0.2763,0.308,0.2752,0.2782,0.306,0.2663,0.2321,0.2194,0.2129,0.3326,0.2729,0.4109
C,0.3337,0.2166,0.2193,0.2209,0.2207,0.2181,0.2236,0.2269,0.2313,0.2212,0.2256,0.3633
D,0.2267,0.2142,0.2199,0.2378,0.2379,0.2457,0.2429,0.2399,0.2342,0.2267,0.2392,0.2323
E,0.2339,0.2361,0.2837,0.2404,0.2311,0.2325,0.2301,0.2344,0.2212,0.4927,0.3467,0.3572
F,0.2456,0.2285,0.2323,0.2385,0.2361,0.2341,0.2376,0.2364,0.2505,0.2475,0.2505,0.2398
G,0.2346,0.2307,0.237,0.2368,0.2415,0.2389,0.2388,0.4104,0.2382,0.2566,0.2614,0.2511
H,0.2836,0.259,0.2536,0.3097,0.2591,0.2524,0.2587,0.2591,0.2516,0.3193,0.2946,0.274
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0504,0.0494,0.0526,0.0565,0.0516,0.0893,0.0574,0.0583,0.0525,0.0547,0.0527,0.0566
B,0.0495,0.0487,0.0522,0.0515,0.0591,0.0591,0.0514,0.0583,0.0535,0.0566,0.058,0.0632
C,0.0609,0.0517,0.0579,0.0522,0.0561,0.0529,0.0495,0.0537,0.0542,0.0592,0.157,0.0552
D,0.0595,0.0525,0.0774,0.0575,0.0595,0.0569,0.0516,0.0516,0.0509,0.061,0.0638,0.056
E,0.0602,0.0541,0.0647,0.0584,0.0593,0.06,0.0589,0.0563,0.0572,0.0561,0.0576,0.0549
F,0.056,0.0628,0.0552,0.0617,0.0606,0.0557,0.0651,0.0834,0.2495,0.0565,0.0599,0.1521
G,0.0616,0.1016,0.0737,0.0629,0.0623,0.0571,0.0589,0.056,0.0558,0.0609,0.0573,0.0571
H,0.0581,0.0594,0.0592,0.0606,0.0746,0.0593,0.0507,0.0505,0.0537,0.0564,0.0602,0.0656
