Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0895,0.0904,0.0919,0.1061,0.1079,0.109,0.1072,0.1908,0.1117,0.1365,0.1018,0.0986
B,0.1405,0.201,0.1251,0.1067,0.1086,0.1159,0.157,0.1136,0.1153,0.1001,0.1101,0.102
C,0.1089,0.1123,0.1105,0.1518,0.1128,0.1116,0.113,0.1174,0.1125,0.1062,0.1117,0.1099
D,0.1044,0.116,0.1058,0.1059,0.1113,0.11,0.1293,0.107,0.1068,0.1047,0.109,0.1074
E,0.1127,0.1129,0.1176,0.1101,0.1184,0.1147,0.1078,0.1108,0.1496,0.1068,0.105,0.11
F,0.1028,0.1109,0.1358,0.109,0.1118,0.1193,0.1146,0.1233,0.1239,0.1085,0.1149,0.1139
G,0.1125,0.1069,0.1061,0.1037,0.1077,0.1042,0.0966,0.0985,0.1017,0.102,0.1011,0.1009
H,0.1116,0.1112,0.1087,0.1039,0.107,0.1646,0.1051,0.1057,0.1086,0.1005,0.1053,0.1402
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0514,0.0525,0.053,0.0521,0.0524,0.0523,0.0514,0.0514,0.0518,0.0512,0.0521,0.0528
B,0.0514,0.0509,0.0516,0.0509,0.051,0.0509,0.0517,0.0531,0.0529,0.0531,0.0517,0.0668
C,0.0508,0.051,0.0518,0.0494,0.0515,0.0519,0.0508,0.0511,0.0513,0.0513,0.0527,0.0533
D,0.0521,0.0518,0.0522,0.052,0.0542,0.0523,0.0517,0.0526,0.0527,0.0513,0.0517,0.052
E,0.3067,0.0511,0.0518,0.0503,0.0508,0.0509,0.0519,0.0516,0.0534,0.0524,0.0524,0.0529
F,0.0523,0.0518,0.053,0.0527,0.0527,0.0523,0.051,0.0496,0.0526,0.2374,0.0519,0.0531
G,0.0515,0.0522,0.0533,0.0522,0.0518,0.0525,0.052,0.0516,0.1903,0.0525,0.052,0.0551
H,0.052,0.0533,0.4437,0.0529,0.052,0.065,0.0523,0.0527,0.0528,0.0525,0.0521,0.0552
