Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.2352,0.2302,0.2256,0.233,0.2275,0.2282,0.2277,0.2278,0.2215,0.2373,0.2333,0.2328
B,0.2091,0.2429,0.2337,0.2272,0.2289,0.2201,0.2454,0.2337,0.2312,0.2327,0.2206,0.2914
C,0.2441,0.2398,0.2355,0.2344,0.2242,0.226,0.2361,0.2356,0.2338,0.2405,0.238,0.2415
D,0.2479,0.2424,0.2351,0.2499,0.2505,0.2423,0.2449,0.2437,0.252,0.2417,0.2363,0.2366
E,0.2471,0.239,0.2438,0.2473,0.2484,0.2393,0.2438,0.2451,0.2428,0.2479,0.2473,0.2428
F,0.252,0.2485,0.246,0.2578,0.2526,0.2433,0.2588,0.2587,0.2445,0.2626,0.2625,0.2594
G,0.2226,0.2029,0.2105,0.2191,0.2213,0.4089,0.2143,0.2193,0.2111,0.2178,0.2129,0.2182
H,0.2215,0.21,0.2515,0.2193,0.2203,0.2176,0.2238,0.209,0.2127,0.2225,0.2165,0.2189
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0538,0.0489,0.0537,0.0498,0.0475,0.0481,0.0486,0.0478,0.049,0.0469,0.0476,0.0473
B,0.0485,0.0474,0.0487,0.047,0.0485,0.0476,0.0488,0.0572,0.0492,0.0547,0.0556,0.0543
C,0.046,0.0464,0.0476,0.0488,0.049,0.0527,0.0478,0.0507,0.0541,0.0489,0.0472,0.0476
D,0.0486,0.0473,0.0487,0.0477,0.054,0.0487,0.0534,0.0534,0.0544,0.0499,0.0488,0.0479
E,0.0521,0.0505,0.0477,0.0589,0.0519,0.0574,0.0512,0.0521,0.0553,0.0556,0.0538,0.0513
F,0.0466,0.0466,0.0467,0.052,0.0555,0.0597,0.0492,0.0485,0.0545,0.0475,0.0467,0.0479
G,0.0487,0.0476,0.0483,0.0557,0.0586,0.0595,0.0479,0.0497,0.0494,0.0473,0.0475,0.048
H,0.0654,0.0497,0.051,0.0565,0.0535,0.0575,0.0499,0.0482,0.0481,0.053,0.0507,0.0499
