Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1152,0.1168,0.1159,0.1089,0.1131,0.1101,0.1179,0.1191,0.1162,0.1204,0.1258,0.131
B,0.1179,0.1267,0.1206,0.113,0.1207,0.1168,0.1114,0.1192,0.1149,0.1216,0.129,0.1219
C,0.1112,0.1159,0.1145,0.1144,0.1179,0.1193,0.1157,0.1224,0.1221,0.1149,0.1154,0.1217
D,0.1142,0.1208,0.1218,0.1222,0.1331,0.3211,0.1232,0.1275,0.1322,0.1235,0.1314,0.1271
E,0.1165,0.1327,0.1233,0.1177,0.1254,0.1196,0.1365,0.1266,0.1318,0.1161,0.121,0.1225
F,0.1241,0.1469,0.1331,0.1279,0.1398,0.1332,0.1386,0.112,0.1279,0.1176,0.1248,0.1107
G,0.1039,0.108,0.1077,0.1069,0.1253,0.1072,0.1304,0.2048,0.1438,0.1189,0.1152,0.1149
H,0.1212,0.1202,0.1149,0.1294,0.1336,0.1234,0.122,0.1426,0.1197,0.1159,0.1173,0.1104
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0534,0.0526,0.0539,0.0522,0.0583,0.053,0.0517,0.0547,0.0527,0.054,0.0526,0.0533
B,0.0527,0.0545,0.0551,0.0545,0.0573,0.0622,0.062,0.055,0.0545,0.0532,0.086,0.0546
C,0.0561,0.056,0.0518,0.0524,0.0882,0.0565,0.0547,0.061,0.0545,0.0578,0.0532,0.0537
D,0.0618,0.0524,0.0527,0.051,0.0539,0.0586,0.0574,0.06,0.0562,0.0662,0.0555,0.0543
E,0.0657,0.0531,0.1204,0.0579,0.0566,0.0556,0.0531,0.0567,0.0517,0.055,0.0563,0.0551
F,0.0563,0.1746,0.0774,0.0621,0.0545,0.0562,0.0515,0.0573,0.0608,0.0567,0.0619,0.0706
G,0.0553,0.0658,0.0561,0.0559,0.0561,0.0567,0.0702,0.0593,0.1217,0.0667,0.0612,0.0554
H,0.0573,0.0569,0.0605,0.0542,0.0549,0.0633,0.0542,0.0558,0.0559,0.0564,0.0626,0.0573
