Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0892,0.0905,0.0918,0.1058,0.1079,0.1089,0.107,0.2028,0.1114,0.1392,0.1018,0.0984
B,0.1406,0.2016,0.1251,0.1065,0.1086,0.1159,0.1595,0.1134,0.1149,0.0999,0.1025,0.1003
C,0.1087,0.1121,0.1103,0.1563,0.1125,0.1116,0.1129,0.1156,0.1124,0.1061,0.1116,0.1095
D,0.1045,0.1159,0.1057,0.1058,0.1114,0.1098,0.1266,0.1069,0.1056,0.1044,0.1088,0.1122
E,0.1129,0.1128,0.1175,0.1103,0.1201,0.1145,0.108,0.1106,0.1494,0.1062,0.1049,0.1101
F,0.1026,0.1112,0.1226,0.1088,0.1118,0.1191,0.1143,0.1229,0.1244,0.1091,0.1171,0.1136
G,0.1105,0.1068,0.113,0.1037,0.1077,0.104,0.0965,0.0986,0.1019,0.1029,0.1026,0.1008
H,0.1114,0.1111,0.1085,0.1037,0.1082,0.1539,0.1057,0.1056,0.1084,0.1003,0.1051,0.1383
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0667,0.0571,0.059,0.0561,0.0543,0.0524,0.0748,0.0769,0.0823,0.072,0.072,0.0682
B,0.061,0.0784,0.064,0.0637,0.0693,0.1078,0.0724,0.0576,0.0551,0.0922,0.0698,0.2485
C,0.0782,0.0613,0.0709,0.0597,0.0768,0.1049,0.0581,0.063,0.0554,0.0706,0.0575,0.2188
D,0.0625,0.0874,0.1132,0.0725,0.0695,0.1077,0.1215,0.3061,0.1122,0.137,0.0848,0.662
E,0.05,0.0544,0.0524,0.0698,0.0743,0.0874,0.0515,0.0555,0.0558,0.0529,0.0648,0.0631
F,0.0716,0.0577,0.0903,0.0694,0.0587,0.4418,0.1092,0.1912,0.1047,0.0792,0.0623,0.076
G,0.068,0.0674,0.0724,0.2117,0.0673,0.071,0.0626,0.0617,0.0744,0.0798,0.3043,0.1492
H,0.0581,0.065,0.0604,0.0549,0.2226,0.8696,0.079,0.0758,0.1158,0.0615,0.0714,0.093
