Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1937,0.2083,0.1975,0.1911,0.2654,0.3879,0.2543,0.2705,0.1853,0.2453,0.1895,0.2569
B,0.1919,0.195,0.3168,0.1878,0.1913,0.2484,0.193,0.2185,0.1977,0.1919,0.2072,0.2077
C,0.1815,0.1971,0.272,0.2564,0.2487,0.3029,0.1832,0.3134,0.2195,0.1918,0.2525,0.2184
D,0.1851,0.1954,0.3117,0.2187,0.2431,0.193,0.2634,0.193,0.2529,0.1841,0.1809,0.2685
E,0.1933,0.1948,0.3064,0.1856,0.191,0.2725,0.1838,0.1908,0.3597,0.1843,0.2744,0.2369
F,0.2009,0.19,0.3142,0.2216,0.1873,0.2303,0.2047,0.1972,0.2702,0.1871,0.2312,0.1857
G,0.1754,0.226,0.4157,0.2195,0.2343,0.2309,0.185,0.2414,0.2366,0.1798,0.1869,0.2418
H,0.1846,0.2363,0.3288,0.1775,0.1832,0.3068,0.2172,0.1975,0.212,0.1859,0.1896,0.2655
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0502,0.055,0.0478,0.0589,0.0534,0.0642,0.0515,0.0611,0.0624,0.0485,0.0518,0.0554
B,0.0487,0.0485,0.0442,0.0498,0.0512,0.0559,0.0499,0.0508,0.0553,0.0483,0.0488,0.0558
C,0.0461,0.047,0.0469,0.0513,0.049,0.0575,0.0497,0.051,0.0501,0.0489,0.0512,0.0522
D,0.0576,0.0565,0.0579,0.0577,0.0549,0.0464,0.0484,0.0517,0.0566,0.0575,0.0565,0.0618
E,0.0472,0.0497,0.0466,0.0511,0.058,0.052,0.0507,0.0526,0.0481,0.0838,0.0662,0.085
F,0.0603,0.0493,0.0527,0.0495,0.0927,0.0473,0.0613,0.0506,0.0567,0.0635,0.0564,0.0518
G,0.061,0.0518,0.0738,0.0545,0.0638,0.0494,0.0571,0.0551,0.0592,0.051,0.0537,0.0483
H,0.0485,0.0496,0.0495,0.0515,0.0501,0.0609,0.0503,0.0518,0.052,0.0541,0.0556,0.0534
